D8R1	D8R2	D8R3	M8R1	M8R2	M8R3	D24R1	D24R2	D24R3	M24R1	M24R2	M24R3
AARS1	12.5092293596686	12.5172947306195	12.5576200925345	12.4781291531346	12.4700042157832	12.4157202838589	12.3127884517364	12.3205961004546	12.3379661040027	12.3561377384787	12.3483300897605	12.3309600862124
AARS2	10.1329966464782	9.90287363384376	10.1024049992769	10.1175651451467	10.106973115946	10.0319237998813	10.4668135351682	10.375004145193	10.3863438088615	10.4997403348961	10.5915497248713	10.5802100612027
AARSD1	6.5697384148797	6.42168259312194	6.55856237013975	6.40412363435779	6.35722898825868	6.39412578383848	6.1063128131404	6.11894034896198	6.17595545376457	6.25966242017211	6.24703488435052	6.19001977954785
AASDH	9.68554875608807	9.7361536782448	9.62715967050504	9.61331485842696	9.60191288560801	9.741068590537	9.34464490923123	9.43425714641647	9.46432931630931	9.45508605266073	9.36547381547548	9.33540164558256
AASDHPPT	11.6506804165855	11.7429678048045	11.6236145134391	11.6353529543061	11.5928382808367	11.7467212902182	11.032314600054	11.1231618981843	11.1557504082024	11.1493323906359	11.0584850925056	11.0258965824875
AASS	10.4969452031425	10.3582671724432	10.4791376504861	10.4293786998148	10.3437126810606	10.4451055168271	10.2375568803731	10.3068756991984	10.3479985240047	10.3620555345037	10.2927367156784	10.251613890872
AATF	10.9640257000279	10.9464223548361	10.8462308057123	10.7734730262948	10.8219921199983	10.9286252028356	10.1490823059357	10.2132880544049	10.2227553897806	10.1936202792838	10.1294145308146	10.1199471954388
ABALON	5.65241532171049	5.51023086472607	5.60825556313589	6.13229079950743	6.0686868682887	5.97868862360587	5.95926696603515	6.14600321645465	6.18398357088861	6.12236884541853	5.935632594999	5.89765224056489
ABCA1	10.6797987562503	10.735104299405	10.8781878258516	10.7813980134245	10.5206309018744	10.6831608482539	10.7599566877702	10.8251586345889	10.8611223827552	10.8714569996494	10.8062550528306	10.7702913046643
ABCA11P	6.91057008865589	7.09141696620249	7.02093554607705	7.02877562483521	6.83028009648155	7.06879810465604	4.73797219199727	5.07475386390657	5.13599913595061	5.00956025468547	4.67277858277614	4.6115333107318
ABCA2	10.0301145220882	9.75823139209098	10.0751882616013	10.3945814045359	10.2979666805836	10.1062682249117	11.0783965318245	10.9443689266841	10.9262545279075	10.9910537699613	11.1250813751018	11.1431957738782
ABCA3	8.74965604902064	8.55198038493491	8.68804628116256	8.72806843882857	8.79368879522384	8.64961518256101	9.35304438518915	9.28383030250799	9.26346357825997	9.27493206404005	9.3441461467212	9.36451287096916
ABCA5	9.31656378461008	9.27398121211239	9.24364959650794	9.15006691967009	9.14196014690071	9.26775037481027	7.99941164477439	8.11960949397572	8.23482432287821	8.30512101030176	8.18492316110039	8.06970833219776
ABCA7	8.64814584462708	8.2901710248353	8.60544779556313	8.98827511716332	8.86002185527278	8.79887210681252	9.84161589639262	9.71940059180659	9.69262581709454	9.72910912879519	9.85132443338121	9.87809920809315
ABCB10	10.8010642265345	10.9054517563323	10.8352715392018	10.8103920738635	10.7729632715087	10.835762828645	9.73911749640926	9.98904512053341	10.0321855675879	9.93326646941563	9.68333884529146	9.64019839823679
ABCB6	6.92128149831048	6.78518987275847	7.02109407266595	6.9190214683442	6.91161399787518	6.68923530528258	7.28869604733527	7.0843301708781	7.07239386017594	7.21276341914891	7.41712929560606	7.42906560630801
