D8R1	D24R3	D24R2	D8R3	D8R2	D24R1	M24R3	M8R2	M8R1	M8R3	M24R2	M24R1
ABHD17A	8.79895840267666	8.58937813221489	8.56110845316895	8.68706316514588	8.14488782240102	8.55552395342742	9.57597062421488	8.87445799918998	9.14154867567683	8.59534000723025	8.83071194311424	8.93092796481674
ABHD17B	9.80264823312101	9.80205414588717	9.83409543537288	10.1273699972313	10.1425558235158	9.93784012850571	9.72222817440617	10.1070641669062	9.69519428617773	10.0732264036319	9.80077987312132	9.90111434986827
ABHD17C	10.8659601698895	10.6540477139788	10.7402457340858	10.6607845015536	10.8260233737054	10.8776074760238	10.4702269035968	10.8025260460885	10.677594737978	10.7314281645504	10.7734934503961	10.830317848951
ABHD18	9.14433216161982	9.480516934339	9.14745298751012	9.44478119496589	9.40329590181955	9.42790091068146	9.07333739975879	9.37827483171288	9.31441521833287	9.51041359018571	9.28862826620137	9.59153878176933
ABHD2	12.5415799607389	12.3942590646835	12.3925812145429	12.6060545847756	12.3826572542154	12.3561360593062	12.3162927532643	12.399849038769	12.4594152140788	12.4391390812843	12.4363431672656	12.4160250883214
ABHD3	10.1461086519759	10.1396954462209	9.94739239051358	10.2431176607171	10.1605126615949	10.1410376144777	9.90361335966431	10.1070641669062	10.1007566818691	10.2278182089948	9.88027408446767	10.088746352751
ABHD4	11.7487063291332	11.7769035590539	11.8545723186666	11.7830014874745	11.821206423659	11.8515529273854	12.11056748696	11.6460701121282	11.7473413243558	11.4918552647366	11.7796818159633	11.7535246967888
ABHD5	11.5107276800006	11.3153514603836	11.1828907951601	11.4970302231885	11.4800843379957	11.2322184261212	11.3446236085274	11.5026276229044	11.4272695051775	11.4954252792729	11.0619162197474	11.2012606298208
ABHD6	9.52169968541024	9.35671484864073	9.45066584129168	9.58348895331576	9.60791777720544	9.42790091068146	9.70305291343427	9.5249455408155	9.58040714003483	9.48062650336585	9.36336627106185	9.44960889032766
ABHD8	8.65519591386678	8.50918717220286	9.12178231291448	7.79495936424675	7.97409750754267	8.79520246300605	9.02855528107708	8.74528712993401	8.77238163015107	8.34953641515924	8.84046244059257	8.76467596524084
ABI1	11.6191698640511	11.6983107095935	11.6487823958801	11.7282806900455	11.8137859467647	11.7458304447833	11.76228466161	11.6679595782386	11.6297444220262	11.7106736003181	11.619578654088	11.7134082299728
ABI2	11.5295719821421	11.5668725110689	11.518496862049	11.6144565567045	11.4883663649306	11.5872212075317	11.2278412812585	11.4373213375691	11.5645992056436	11.5113426758684	11.5042830705077	11.6588130232443
ABI3BP	6.44459460157843	5.86195548095667	5.9495022299439	6.36768145471159	6.48576249584769	6.37411438566954	5.82990142649404	6.13630895561153	6.18080697749043	6.31686600285566	6.10841967827713	6.26350597549564
ABITRAM	9.76944528707784	9.68162540938429	9.74421926231112	9.92102507114039	10.0606067779395	9.74068101285646	9.7677198923798	9.82851860132997	9.50950778056677	10.0137936591355	9.77793416422242	9.67813144564321
ABL1	12.5392076853494	12.5380770423625	12.6941954318866	12.3203560956286	12.242619731008	12.527434144101	12.4923372351723	12.5077414311696	12.6361946810941	12.2515629364245	12.6458200255861	12.5844735222648
ABL2	13.2162316629828	13.1567882721841	13.1284612876088	13.1990896243139	13.2954138156722	12.961349040869	13.4199908245183	13.288042165247	13.2012317978473	13.1474651098512	13.1047660372069	13.058744915246
ABLIM1	12.7661444776391	12.5024114715887	12.700095353532	12.5462414251141	12.717323919131	12.7627845284164	12.3129901668362	12.5871007207887	12.6863678895003	12.4738972924766	12.6229905019986	12.7674424449878
ABLIM3	11.7666783431319	11.7881224608756	11.7937886648467	11.6787257296114	11.8062029971208	11.8194388902916	11.9288206450191	11.7337033911685	11.7215320403077	11.5746644955152	11.8314445674198	11.8065870743798
ABR	10.1861713001262	10.1259707554275	10.2308562240196	10.0039368879318	10.1956038594857	10.2175385910542	10.2393445317785	10.1910127298727	10.1998013015286	10.0868599613096	10.2101096243065	10.1201755198409
ABRACL	10.0042133194883	9.95667713948665	9.8480122980719	10.3625322348177	10.3712612195112	9.94513776061119	9.95253884070232	10.1731053983301	9.84630469865423	10.4720789689658	9.78984561225374	9.74771116738235
ABRAXAS1	9.60574975249276	9.77595237364707	9.61564209292022	9.7285291818401	9.97506745844423	9.69162434979872	9.42693687053331	9.6805856007151	9.50231604140233	9.79434604357819	9.45091803845201	9.62615694055009
ABRAXAS2	10.6382361182699	10.4944166546275	10.4624706591513	10.7806925955597	10.8981630876727	10.572809357996	10.3928730405915	10.6378645748516	10.5789194429355	10.875781169756	10.5335751509479	10.5922159106778
ABT1	11.0480333200952	10.7812879712256	10.9990761310943	10.6629279499454	10.7523192779577	10.8102255671383	10.8290094457397	10.9051799166112	10.9019304325968	10.8457341347718	10.9477060670181	10.7424241565409
ABTB1	9.44722113818109	9.52995755898206	9.66534605909129	9.00369910808919	8.88842587362686	9.64317611341012	10.2740447692649	9.41337184071588	9.56964630392032	8.87430946674299	9.67491265188157	9.67733160802706
ABTB2	10.3638971409464	10.1995664321248	10.4758024713365	10.1308299462297	10.0585118922409	10.403288912545	10.8898357374612	10.3467767148836	10.4378083503296	10.0679078490086	10.3210601886244	10.3789140790591
ACAA1	10.3109518502391	10.3454448127515	10.1947468494817	10.3377253203252	10.3796734763469	10.3286645779529	10.9887138241686	10.4429453169135	10.4963711530891	10.2588040114778	10.4226384387951	10.3318128607171
ACAA2	10.1526412818698	9.95054034381097	9.91309629530714	9.92999389229137	10.1256522853446	9.94513776061119	10.0957672119634	10.0589293003652	9.97256204539283	9.9556220045752	9.8236900376719	9.81133027120096
ACACA	10.1877495750823	10.3393422410197	10.4111082623441	10.214114545263	10.0959910115401	10.4500241941898	10.2184697522832	9.9344565138291	9.95989090989752	10.0822260758138	10.3302964352358	10.3393422410197
ACACB	8.83056170926316	9.0968783675353	8.8876675265368	8.89806346190309	8.75352224984645	8.8136027455487	9.0441796606251	8.90860443378338	8.96049481577573	8.80920087718972	8.99674659369645	8.90153698482657
ACAD10	9.26937831568882	9.36459998491696	9.09424957126318	9.37452273351402	8.97457960829916	9.37527675562423	9.52169968541024	9.18630760144407	9.46300968246393	8.93236031204333	9.27199448028727	9.49522545146473
ACAD8	11.2356066168908	11.0942148053091	11.017428964024	11.4304018628207	11.3473543805623	11.0393481587315	11.3300280783144	11.3099635460601	11.2939894959182	11.2032000675844	11.1691666873328	11.1397302848837
ACAD9	10.822983107158	10.6897249706127	10.7164691511959	10.6582971015758	10.7364979376235	10.7235374367846	10.7066531270907	10.7793508763336	10.8174556698972	10.5689148491666	10.7005154762569	10.6909907851273
ACADL	5.94303347638514	5.35250896367955	5.70877255231437	5.95066291594877	6.02943551970461	5.82690020973969	5.2732377951847	6.41966325707981	6.00359327880004	6.15582770029993	5.91497315529862	5.75642461895367
ACADM	10.5993265836987	11.0476182715081	10.6840901369042	10.8903907184286	10.9324654435559	10.9114919273603	10.1572333667621	10.7564863431877	10.6590611258068	11.0264326278252	10.7221061892676	10.737319721192
ACADS	8.20123722027315	8.06234089781562	8.45562590323158	7.6897248916882	7.55187817826441	8.4331623632275	8.42745990113175	8.18911498943928	8.30505987880933	7.84187132734585	8.30835956074397	8.20099207214723
ACADSB	9.51173562562916	9.85482284528454	9.74068101285646	9.83012968849369	9.8490498476706	9.62059931129875	9.15713976860602	9.59795604194877	9.47009183029382	10.0026296960433	9.68448533795224	9.66950169010398
ACADVL	13.3841423770073	13.4063852386917	13.251791781861	13.3898688586908	13.0993096279951	13.3502360720921	13.506928179002	13.3050200330985	13.5138819993627	13.1427480378872	13.3849080744286	13.3997599754839
ACAP1	6.35422917936435	5.80553912389196	6.58613858329692	5.82990142649404	5.65855186052896	6.76146819431018	6.9275863974811	5.79705859221249	6.18080697749043	5.65683740350611	6.29400378325919	6.598754010735
ACAP2	11.5664656428205	11.761005508507	11.5320802775521	11.6893302899984	11.7213709776381	11.5734797863408	11.2302352286957	11.6506263543312	11.5478310281265	11.7359764870658	11.4916970478362	11.6768795833809
ACAP3	10.7249945276169	10.8310187413827	10.8427362820222	10.4212242867081	9.90155481460727	10.7351069293876	11.3631119965961	10.7248388879224	11.1028455776788	10.473078300918	10.8583237824035	10.9795175733537
ACAT1	12.2181976184873	12.3734793791406	12.3554137307073	12.401168025517	12.4104250924377	12.412868388607	12.4635260392068	12.3881776479651	12.3180285412774	12.4594152140788	12.3466600478775	12.342654447944
ACAT2	11.7003156248144	11.4958424776179	11.6632288254969	11.9190562182743	11.7935317953966	11.7481120407149	11.6044837025417	11.7722012839705	11.6429382556861	11.8105808832198	11.6147694643282	11.5844886778064
ACBD3	11.3171989054807	11.4091797852874	11.2458530138464	11.5017169163128	11.5383630774341	11.4986345336899	11.0111428487892	11.3381442512596	11.295209784517	11.5148783731182	11.3662219197422	11.4629872529991
ACBD4	8.02587959499288	8.24097621736803	8.35476665145839	7.924682175873	7.77815367928344	8.39450472186663	8.4568167648111	7.96030398364167	8.01878859967503	8.07595030021324	8.38641417397649	8.30892929372955
ACBD5	11.492013481637	11.6612282733269	11.5891306621365	11.6632288254969	11.766548486307	11.6175320190489	11.5055981217396	11.6121204245513	11.5139058642099	11.8143345953729	11.5908301768227	11.646751457375
ACBD6	11.1454017569728	11.1486370730751	11.2757820532823	11.0788754651993	11.047851247586	11.1136845604639	11.350217471382	11.1983089967911	11.1309681354005	11.1811601268271	11.2526898114907	11.1222131161456
ACBD7	7.23886564231001	7.09499122445915	7.33231841883092	7.56536185462103	7.49326839756756	7.48266212116943	7.20160072202007	7.38837513548896	7.16676224278591	7.45372650267828	7.15604518770377	7.32939183573099
ACCS	8.15106096425172	8.29231963225476	8.01604964446219	8.22017565458845	7.80279730814019	8.37825560414028	8.28426682284736	8.15140931530545	8.20460747717149	7.98053191437927	8.30414703061941	8.50675217370076
