"","Peak_ID","Compound_Name","mz_mean","mz_diff_ppm","RT_diff","Adduct","Synonym","Chem_Sum_Formula","Exact_Mass","Lipid_Class","FA_composition","R1_06D","R2_06D","R3_06D","R4_06D","R5_06D","R6_06D","R1_06M","R2_06M","R3_06M","R4_06M","R5_06M","R6_06M","R1_12D","R2_12D","R3_12D","R4_12D","R5_12D","R6_12D","R1_12M","R2_12M","R3_12M","R4_12M","R5_12M","R6_12M","R1_24D","R2_24D","R3_24D","R4_24D","R5_24D","R6_24D","R1_24M","R2_24M","R3_24M","R4_24M","R5_24M","R6_24M","R1_48D","R2_48D","R3_48D","R4_48D","R5_48D","R6_48D","R1_48M","R2_48M","R3_48M","R4_48M","R5_48M","R6_48M","R1_72D","R2_72D","R3_72D","R4_72D","R5_72D","R6_72D","R1_72M","R2_72M","R3_72M","R4_72M","R5_72M","R6_72M"
"399","LP_23854","PE 38:5",766.5349403,NA,NA,"[M+H]+",NA,"C43H76NO8P","765.530857","Phosphatidylethanolamine","18:1/20:4",11753218,14120946,20133576,11288400,10236796,12237899,10774916,11925411,11141238,12124127,13565386,15870478,13015247,11516022,16984246,14144136,11384941,15462461,14011742,10772311,18526616,13140151,11901146,15069344,10656699,14321798,15195068,10094064,14350906,14555022,11372720,16974284,17569804,10712371,11475606,14050144,12940237,7352599,12377562,11748010,8528613,9762784,8672638,6776597,12440688,11207580,7402083,10998291,8878353,5619619,9678585,10013070,9403440,3601635,7641144,7798282,8420928,12286738,7062775,8906305
"400","LP_23974","PC 35:4",768.5512485,NA,NA,"[M+H]+",NA,"C43H78NO8P","767.546507","Phosphatidylcholine","15:0/20:4",5084300,9090456,11741807,7084880,5660477,9075701,6238638,8206546,9005158,7807114,10223546,10431399,6047130,10243189,12571002,10662381,8330552,9678000,6675264,8916900,12263150,10556226,8790361,9475606,3967308,9255992,8468710,7185363,9358275,10288156,4462351,9550558,11576750,8167741,7262615,8720169,4214597,4026128,6674034,5725126,4226006,6075702,4011926,3688544,6282277,5862110,5869348,5882987,2503109,3113062,5047705,3972743,4298141,3108226,2515932,3464709,4013040,3737977,4050254,4261787
"401","LP_23980","PE 38:4",768.551918,NA,NA,"[M+H]+",NA,"C43H78NO8P","767.546507","Phosphatidylethanolamine","18:0/20:4",54953344,70150872,90050464,54919184,52897944,61587356,58079448,67838080,60533480,56268420,59085120,67584592,57024704,63778464,78875432,73523072,58691456,70785456,69840952,64068252,93900664,62316124,64895884,70953328,56911768,78635864,70761800,50365568,74733008,87054960,52126256,81752528,91022576,64540416,64009320,71368776,71211480,55101568,82165616,71268200,66379808,71402568,57593168,56113112,84750128,70487360,59199876,73501384,65617904,49183060,68640536,64939900,67941688,33627312,55503560,61488620,69818560,84026496,56593680,71957648
"402","LP_24086","PE 38:3",770.5680528,NA,NA,"[M+H]+",NA,"C43H80NO8P","769.562157","Phosphatidylethanolamine","18:0/20:3",10333584,13706216,19203832,10333556,8680468,9387878,9643170,12156484,11241959,9615469,8849175,10236538,11759144,11778130,14236135,12048260,11219425,10550831,13101517,11006784,16882516,9993560,10468311,10573476,10225231,12698574,12795117,9388267,11110772,11686451,9828295,15692883,15368248,10523080,11299211,9959781,11537330,9366940,9928014,12245012,11028543,8127995,10527534,9026242,10454668,10734324,9026853,9301887,10374414,4835270,8346087,8154526,6915222,3763282,9593156,6569280,7854956,11030505,5800060,7245910
"403","LP_24088","PE 38:3",770.5690136,NA,NA,"[M+H]+",NA,"C43H80NO8P","769.562157","Phosphatidylethanolamine","18:0/20:3",3227648,3334599,4507358,2750153,2767096,2956221,3013820,2992641,2357542,2427708,2769770,2999372,2876478,2998583,2849250,2686319,3270868,3199091,3304976,2809766,3412710,2306892,3264944,3219140,2322650,2782079,2516420,1956658,3168389,3407242,2063544,3380752,3498343,2567802,3216066,2873566,2275742,2173647,2386553,2425531,3305372,2666018,1994805,1965880,2479243,2272065,2456450,2977362,2245814,1869506,2723716,1999824,2619772,1356827,2071708,2422450,2371052,2784649,1956540,2690400
"404","LP_24286","SM 39:1",773.6520652,NA,NA,"[M+H]+",NA,"C44H89N2O6P","772.645826","Sphyngomyelin",NA,576801,937407,823913,653735,557197,649619,605807,717072,701788,675045,741672,762755,612163,999765,1163060,943069,794421,1124650,708512,903438,1211501,788982,746002,1005164,461051,977636,784851,646052,1107179,1389940,443975,978867,1409062,756693,773440,1025762,678277,1080224,1605689,1023574,947519,1532222,647859,801524,1672894,934238,1019841,1545606,821838,934831,1680281,1365058,1309187,858115,719732,1126248,1606563,1468027,1502393,2156888
"405","LP_24580","PC 35:0",776.6148186,NA,NA,"[M+H]+",NA,"C43H86NO8P","775.609107","Phosphatidylcholine","17:0/18:0 | 16:0/19:0",1951484,4107898,4462267,1847136,2307666,3717823,1782888,4143846,2910964,1940577,3393203,3443116,2406582,5497839,6223247,3575810,3638953,5867093,2790046,5171992,5735175,3687264,4271264,5552182,1359223,5033047,4041930,2548788,5789194,8560438,1580900,5491925,7634266,3272289,4620180,5904103,2623953,4801430,10959773,4753243,7000184,8665227,2204279,4283410,11773100,4648146,6998732,10409654,3217260,6730838,9788342,6006811,7805619,4473760,3054731,7356549,9774314,7547816,7165920,11052077
"406","LP_24581","PC 35:0",776.6168864,NA,NA,"[M+H]+",NA,"C43H86NO8P","775.609107","Phosphatidylcholine","17:0/18:0 | 16:0/19:0",368415,439692,521810,543297,322447,1106156,364324,421243,392069,520412,808356,528944,279759,937218,681986,759124,652417,1945642,331819,800074,1332572,893680,731993,1162711,183815.1,610437,148634,328630,1103368,2378032,164295,1015245,1391210,726071,1031256,1394260,312792,653418,1632425,786909,1647510,1373898,170852,580052,1820200,1113735,380157,1999149,470233,1732894,2087541,929402,1241867,787814,396097,1063022,1364949,2386869,2013027,3549981
"407","LP_24675","PC 36:6",778.534904,NA,NA,"[M+H]+",NA,"C44H76NO8P","777.530857","Phosphatidylcholine","16:1/20:5",228653,829369,749768,422254,428157,869631,264131,796848,482088,375856,922791,915426,242298,1299528,889648,654430,928808,1068654,327871,1089400,941043,530686,999237,941893,80498,627652,487283,468989,924369,1112748,91551,617667,977381,582282,801674,856145,196586,601702,670142,487022,725294,581486,154052,436065,801172,464168,473124,745249,184861,537398,656818,272161,466508,416536,205268,723667,433368,558668,593194,624256
"408","LP_24676","PC 36:6",778.5360582,NA,NA,"[M+H]+",NA,"C44H76NO8P","777.530857","Phosphatidylcholine","14:0/22:6 | 16:1/20:5",467437,850452,770833,862633,1178882,1738462,508770,781762,759155,1058849,1944559,2681818,506582,1832118,1644582,1938876,3306654,4638369,527425,1849410,1342814,1246942,3530556,5486684,363597,2241013,1337536,1256258,5481050,5994336,393215,1584938,1771362,1332538,3446612,5079764,986844,3897986,6362375,3383217,5522968,7081956,772244,2958968,6358867,2570593,7233468,6724996,1775346,4637362,5908636,5550632,9460516,5058074,1285606,4940864,5331330,3937616,6252603,6750864
