pval	Fstat
hsa-miR-365b-5p	0.748382721140628	0.428571428571427
hsa-miR-3681-5p	0.748382721140628	0.784313725490197
hsa-miR-3690	0.748382721140628	0.784313725490197
hsa-miR-374a-5p	0.748382721140628	1.76470588235294
hsa-miR-374b-5p	0.748382721140628	1.19047619047619
hsa-miR-378a-3p	0.748382721140628	0.428571428571427
hsa-miR-378a-5p	0.748382721140628	1.19047619047619
hsa-miR-378c	0.748382721140628	1.19047619047619
hsa-miR-378d	0.748382721140628	1.19047619047619
hsa-miR-378i	0.748382721140628	0.428571428571427
hsa-miR-3934-5p	0.748382721140628	0.784313725490197
hsa-miR-421	0.748382721140628	0.428571428571427
hsa-miR-422a	0.748382721140628	0.428571428571427
hsa-miR-423-5p	0.748382721140628	3.85714285714286
hsa-miR-424-5p	0.748382721140628	1.19047619047619
hsa-miR-425-3p	0.748382721140628	2.33333333333333
hsa-miR-425-5p	0.748382721140628	1.76470588235294
hsa-miR-4326	0.748382721140628	0.808080808080809
hsa-miR-4485-3p	0.748382721140628	2.33333333333333
hsa-miR-450b-5p	0.748382721140628	2.33333333333333
hsa-miR-4521	0.748382721140628	0.428571428571427
hsa-miR-452-5p	0.748382721140628	3.97058823529412
hsa-miR-454-3p	0.748382721140628	0.428571428571427
hsa-miR-455-3p	0.748382721140628	2.40196078431372
hsa-miR-455-5p	0.748382721140628	1.76470588235294
hsa-miR-4661-5p	0.748382721140628	2.33333333333333
hsa-miR-4677-3p	0.748382721140628	3.85714285714286
hsa-miR-484	0.748382721140628	0.428571428571427
hsa-miR-486-5p	0.748382721140628	0.428571428571427
hsa-miR-491-5p	0.748382721140628	1.19047619047619
hsa-miR-500a-5p	0.748382721140628	0.428571428571427
hsa-miR-5010-3p	0.748382721140628	0.441176470588234
hsa-miR-501-3p	0.748382721140628	1.19047619047619
hsa-miR-501-5p	0.748382721140628	0.428571428571427
hsa-miR-502-3p	0.748382721140628	0.428571428571427
hsa-miR-505-3p	0.748382721140628	3.85714285714286
hsa-miR-522-3p	0.748382721140628	1.19047619047619
hsa-miR-532-5p	0.748382721140628	0.454545454545453
hsa-miR-548e-3p	0.748382721140628	0.428571428571427
hsa-miR-548o-3p	0.748382721140628	0.428571428571427
hsa-miR-549a-3p	0.748382721140628	0.428571428571427
hsa-miR-550a-3p	0.748382721140628	0.441176470588234
hsa-miR-574-3p	0.748382721140628	1.26262626262626
hsa-miR-576-3p	0.748382721140628	2.33333333333333
hsa-miR-582-3p	0.748382721140628	3.13725490196078
hsa-miR-584-3p	0.748382721140628	0.428571428571427
hsa-miR-625-5p	0.748382721140628	1.76470588235294
hsa-miR-629-3p	0.748382721140628	0.428571428571427
hsa-miR-642a-5p	0.748382721140628	0.428571428571427
hsa-miR-652-3p	0.748382721140628	0.428571428571427
hsa-miR-671-3p	0.748382721140628	1.19047619047619
hsa-miR-671-5p	0.748382721140628	0.428571428571427
hsa-miR-6842-3p	0.748382721140628	2.33333333333333
hsa-miR-744-5p	0.748382721140628	1.19047619047619
hsa-miR-7-5p	0.748382721140628	1.19047619047619
hsa-miR-760	0.748382721140628	0.428571428571427
hsa-miR-766-3p	0.748382721140628	0.428571428571427
hsa-miR-769-3p	0.748382721140628	1.19047619047619
hsa-miR-769-5p	0.748382721140628	0.784313725490197
hsa-miR-7974	0.748382721140628	0.428571428571427
hsa-miR-7976	0.748382721140628	0.454545454545453
hsa-miR-874-3p	0.748382721140628	1.19047619047619
hsa-miR-877-3p	0.748382721140628	0.428571428571427
hsa-miR-877-5p	0.748382721140628	1.19047619047619
hsa-miR-92a-1-5p	0.748382721140628	1.22549019607843
hsa-miR-92a-3p	0.748382721140628	3.23232323232323
hsa-miR-92b-3p	0.748382721140628	1.81818181818182
hsa-miR-92b-5p	0.748382721140628	0.428571428571427
hsa-miR-93-5p	0.748382721140628	0.499999999999998
hsa-miR-941	0.748382721140628	0.784313725490197
hsa-miR-9-5p	0.748382721140628	0.428571428571427
hsa-miR-96-5p	0.748382721140628	2.40196078431372
hsa-miR-98-5p	0.748382721140628	0.428571428571427
hsa-miR-99a-5p	0.748382721140628	0.441176470588234
hsa-miR-99b-3p	0.748382721140628	1.81818181818182
hsa-miR-99b-5p	0.748382721140628	2.72222222222222
