gene.index	RP.Rsum	FC..class1.class2.	pfp	P.value
ENSG00000258947	10862	98.01	0.392137097168765	0.01217	2.855e-05
ENSG00000265205	11120	105.3	0.399539929883518	0.01467	3.548e-05
ENSG00000148735	8384	105.7	0.392326439650944	0.0144	3.588e-05
ENSG00000177576	11803	105.9	0.387222894714801	0.01407	3.611e-05
ENSG00000271978	4308	106	0.392137097168765	0.01373	3.624e-05
ENSG00000251562	7502	106	0.380258341230825	0.01337	3.626e-05
ENSG00000253200	6183	106.4	0.392705199180787	0.01317	3.667e-05
ENSG00000239388	2667	107.6	0.385148837577896	0.01325	3.788e-05
ENSG00000257671	8744	107.8	0.380633945252964	0.01301	3.816e-05
ENSG00000234771	6971	108	0.386091221203337	0.01275	3.833e-05
ENSG00000278974	3644	109.2	0.377631847583095	0.01286	3.959e-05
ENSG00000234345	5950	110.8	0.387411593301282	0.01312	4.137e-05
ENSG00000228492	5885	111.6	0.379132115536716	0.01313	4.234e-05
ENSG00000243678	11401	112	0.37894449670026	0.01295	4.272e-05
ENSG00000213997	5753	112.7	0.390245037827557	0.01294	4.363e-05
ENSG00000275896	5550	114.8	0.396688189399952	0.01336	4.603e-05
ENSG00000124839	2301	117.4	0.408129129936666	0.01399	4.922e-05
ENSG00000234745	4449	117.6	0.392515806986109	0.0138	4.957e-05
ENSG00000242600	8197	119.4	0.42333275336321	0.01413	5.177e-05
ENSG00000168282	9569	120.2	0.408320583064263	0.01416	5.294e-05
ENSG00000279289	4661	122.1	0.368662855872519	0.01455	5.546e-05
ENSG00000263786	11544	123.3	0.379132115536716	0.01469	5.707e-05
ENSG00000230177	4772	126.8	0.366987359798269	0.01568	6.208e-05
ENSG00000260751	10501	128	0.380070575883922	0.01581	6.376e-05
ENSG00000230715	5473	133	0.359564163380412	0.01743	7.153e-05
ENSG00000186166	7813	133.8	0.356051480697172	0.01744	7.286e-05
ENSG00000100060	13377	136.3	0.353284338922645	0.01811	7.698e-05
ENSG00000273486	2900	136.4	0.398018300167363	0.01782	7.709e-05
ENSG00000127129	434	138.5	0.351074440546879	0.01833	8.063e-05
ENSG00000279759	12836	139.8	0.35144252194724	0.01855	8.294e-05
ENSG00000232934	8378	142.1	0.409853123419121	0.01915	8.703e-05
ENSG00000250067	12649	143.2	0.347765927090763	0.01926	8.896e-05
ENSG00000088340	12045	144.1	0.368290355214397	0.01931	9.061e-05
ENSG00000269378	12558	144.3	0.346848240499876	0.01911	9.107e-05
ENSG00000166333	7201	144.7	0.344831382390408	0.01899	9.187e-05
ENSG00000124602	4548	145.4	0.345197874210209	0.01894	9.303e-05
ENSG00000197180	6092	146	0.347031731125355	0.01893	9.434e-05
ENSG00000228242	2395	151.6	0.347765927090763	0.0208	0.0001052
ENSG00000163463	960	152.3	0.34318332035068	0.0208	0.0001067
ENSG00000104081	9928	154.6	0.341537138825891	0.02143	0.0001115
ENSG00000127366	5549	156.9	0.359379071964302	0.02208	0.0001165
ENSG00000203392	10176	157.1	0.349603053330211	0.02187	0.000117
ENSG00000143036	685	159.1	0.377069649079823	0.02237	0.0001213
ENSG00000253854	6394	160.3	0.332970798589448	0.02258	0.0001241
ENSG00000260910	9436	162.2	0.334243417320601	0.02306	0.0001285
ENSG00000204745	1791	162.4	0.343000318505964	0.02282	0.0001288
ENSG00000204789	4400	162.8	0.334789169186723	0.0227	0.0001298
ENSG00000269427	12581	163.6	0.346114511283354	0.02273	0.0001316
ENSG00000142046	12856	163.9	0.331880875313568	0.02256	0.0001323
ENSG00000261286	10806	165.5	0.337521029576749	0.02293	0.0001362
ENSG00000279789	10539	166.6	0.331880875313568	0.02311	0.0001389
ENSG00000279347	6475	170.4	0.334061545900141	0.02438	0.0001483
ENSG00000138316	8141	171.4	0.3287972234581	0.02448	0.0001508
ENSG00000108839	10959	172.5	0.335517159635317	0.02465	0.0001536
ENSG00000231728	5951	178.2	0.327891519968696	0.02677	0.0001688
ENSG00000139597	9255	181.6	0.320846479161911	0.02799	0.0001785
ENSG00000272808	10286	182	0.327348370671615	0.02783	0.0001795
ENSG00000188747	7119	183.3	0.319585618193183	0.02809	0.0001832
ENSG00000268087	12580	185.3	0.325358570914176	0.02867	0.0001892
ENSG00000267199	11722	189.4	0.321387185661171	0.0302	0.0002015
ENSG00000228925	1617	191	0.317067197282784	0.03059	0.0002063
ENSG00000232354	2495	192.2	0.314194374845732	0.03084	0.0002103
ENSG00000120051	8364	192.8	0.314553164959715	0.0308	0.0002122
ENSG00000073605	11223	194.2	0.32228881373932	0.03109	0.0002165
ENSG00000197301	8870	195.8	0.31670778147602	0.03149	0.0002216
ENSG00000259994	8021	196.4	0.314373758749089	0.03147	0.0002238
ENSG00000280138	9138	196.6	0.322469206992558	0.03121	0.0002242
ENSG00000223773	5645	197.9	0.315271012985914	0.0315	0.0002286
ENSG00000279412	10750	198.9	0.310074689143573	0.03164	0.0002319
ENSG00000269652	12852	198.9	0.311685339359615	0.03135	0.0002321
ENSG00000162852	1409	199	0.312401761492718	0.03107	0.0002323
ENSG00000267523	13134	199.6	0.310969272815127	0.03105	0.0002345
ENSG00000243449	3158	201.1	0.317067197282784	0.0314	0.0002394
ENSG00000269984	2989	201.7	0.311327261660857	0.03137	0.0002414
ENSG00000246922	10093	203	0.315091517490704	0.03167	0.000246
ENSG00000267904	12584	203.7	0.318505756585215	0.03166	0.0002483
ENSG00000147437	6203	204	0.311685339359615	0.0315	0.0002494
ENSG00000272977	13293	205.4	0.308644508068939	0.03183	0.0002544
