FC..class1.class2.	P.value
ENSG00000105373	0.25635578329374	0.003386
ENSG00000167508	0.257045243302508	0.00339
ENSG00000180900	0.257390096905414	0.003393
ENSG00000218891	0.257390096905414	0.003431
ENSG00000251432	0.252397769725057	0.003482
ENSG00000258727	0.260151897300673	0.003486
ENSG00000009950	0.26413127092642	0.003511
ENSG00000124664	0.255666652618641	0.003527
ENSG00000167680	0.256011176809147	0.003536
ENSG00000109743	0.255494421371389	0.003546
ENSG00000007376	0.254117311097741	0.003591
ENSG00000242802	0.253773238823062	0.003625
ENSG00000140983	0.254805701921199	0.003628
ENSG00000270362	0.261880711217424	0.003674
ENSG00000159069	0.25446146545073	0.003687
ENSG00000185340	0.251538766995964	0.003723
ENSG00000133243	0.25256963166354	0.003728
ENSG00000243678	0.253773238823062	0.003759
ENSG00000261286	0.258942959026036	0.003787
ENSG00000167513	0.253085340352102	0.003794
ENSG00000137460	0.251195309062932	0.003827
ENSG00000169683	0.251195309062932	0.003828
ENSG00000163032	0.250165425587271	0.003831
ENSG00000110719	0.256011176809147	0.003846
ENSG00000183638	0.250851932876403	0.003872
ENSG00000111886	0.259115602482341	0.003877
ENSG00000184281	0.250851932876403	0.003879
ENSG00000158560	0.25068027542592	0.00398
ENSG00000085872	0.24965075941585	0.004035
ENSG00000006118	0.248450585208394	0.00404
ENSG00000175701	0.247936530315769	0.004061
ENSG00000253854	0.188693388530219	0.00411
ENSG00000141577	0.24759392878462	0.00416
ENSG00000139438	0.247080178987195	0.004198
ENSG00000105669	0.24656661207312	0.004202
ENSG00000169972	0.245540026374521	0.004224
ENSG00000226029	0.24965075941585	0.00423
ENSG00000246705	0.244685095954902	0.004257
ENSG00000128283	0.244856041513593	0.004265
ENSG00000141391	0.246395463720005	0.004285
ENSG00000204792	0.245540026374521	0.004297
ENSG00000123901	0.244685095954902	0.004443
ENSG00000064687	0.247765219380355	0.004451
ENSG00000237719	0.243489043859842	0.00447
ENSG00000134780	0.24297675349254	0.004507
ENSG00000166289	0.242806030453363	0.004528
ENSG00000140691	0.241952718166766	0.004572
ENSG00000177700	0.244172380777715	0.004572
ENSG00000145703	0.251023610753787	0.004592
ENSG00000183828	0.245368999755758	0.004641
ENSG00000099904	0.242464644971199	0.00465
ENSG00000132749	0.241270431542137	0.004681
ENSG00000165171	0.241952718166766	0.004681
ENSG00000276449	0.240758928242722	0.004689
ENSG00000131037	0.241782116257871	0.004699
ENSG00000203872	0.240418026766445	0.004699
ENSG00000105327	0.2397364653786	0.004739
ENSG00000161664	0.2397364653786	0.004744
ENSG00000255198	0.192974874501356	0.00476
ENSG00000223804	0.257390096905414	0.004819
ENSG00000230267	0.247080178987195	0.004823
ENSG00000237596	0.257390096905414	0.004832
ENSG00000125652	0.240758928242722	0.00486
ENSG00000088256	0.238374307797517	0.004862
ENSG00000180139	0.243489043859842	0.004872
ENSG00000161996	0.244172380777715	0.004905
ENSG00000228594	0.238033969263056	0.004944
ENSG00000234753	0.25635578329374	0.004946
ENSG00000186481	0.240418026766445	0.00496
ENSG00000260236	0.247936530315769	0.005001
ENSG00000079432	0.236163541109049	0.005057
ENSG00000103056	0.244172380777715	0.005057
ENSG00000148362	0.237183474018894	0.005087
ENSG00000023191	0.23854450717728	0.005096
ENSG00000250397	0.250508638397475	0.005098
ENSG00000163536	0.240247606231029	0.005111
ENSG00000189144	0.237863830098888	0.005134
ENSG00000214719	0.235314147477866	0.005151
ENSG00000180855	0.235483986202047	0.005152
ENSG00000172348	0.23854450717728	0.005171
ENSG00000127666	0.234295534791949	0.005262
ENSG00000130475	0.234295534791949	0.005324
ENSG00000139044	0.247936530315769	0.005425
ENSG00000133134	0.234465253637023	0.005447
ENSG00000167193	0.232768962976124	0.005483
ENSG00000148400	0.237353532961849	0.005496
ENSG00000157873	0.232260464454422	0.005499
ENSG00000161682	0.235653844922546	0.005508
ENSG00000173465	0.233956156987305	0.005523
ENSG00000183760	0.232938502319511	0.005567
ENSG00000073169	0.234804751236163	0.005605
ENSG00000177839	0.236843416258713	0.005619
ENSG00000116017	0.230566762638752	0.005656
ENSG00000277734	0.233108061588777	0.005662
ENSG00000141582	0.229720656790274	0.005729
ENSG00000171044	0.231413364999112	0.005763
ENSG00000178685	0.23242994404826	0.005781
ENSG00000280138	0.142257815539934	0.005805
ENSG00000126215	0.229720656790274	0.00586
ENSG00000099864	0.237353532961849	0.005914
ENSG00000253641	0.230228260750552	0.006003
ENSG00000136098	0.228705984348338	0.006085
ENSG00000164309	0.227692025041597	0.006102
ENSG00000180448	0.227016447861895	0.006122
ENSG00000255182	0.245027007330098	0.006138
ENSG00000185049	0.229889838266972	0.006148
ENSG00000160161	0.228536941634349	0.00621
ENSG00000244300	0.23073604337123	0.006283
ENSG00000275632	0.226678777868338	0.00632
ENSG00000142235	0.227185312500807	0.006344
ENSG00000181577	0.205729710223772	0.006359
ENSG00000258682	0.230397501766746	0.006367
ENSG00000178605	0.224991612384405	0.006371
ENSG00000148483	0.229720656790274	0.006401
ENSG00000064932	0.225834948493583	0.006458
ENSG00000253598	0.23667341743204	0.006562
ENSG00000269001	0.221791423601912	0.006628
ENSG00000070423	0.221623189091677	0.006671
ENSG00000261167	0.237693710997118	0.006672
ENSG00000279331	0.227354196907308	0.0067
ENSG00000149823	0.221286778913893	0.006716
ENSG00000167604	0.226847602985948	0.006737
ENSG00000125503	0.225497554890341	0.00678
ENSG00000107816	0.221454974197195	0.006784
ENSG00000255624	0.221791423601912	0.006788
ENSG00000147119	0.220614193801064	0.006798
ENSG00000185634	0.222296244872902	0.006821
ENSG00000188486	0.221454974197195	0.006824
ENSG00000065057	0.224148768964459	0.006896
ENSG00000085831	0.223138006400305	0.006958
ENSG00000125912	0.221286778913893	0.007014
ENSG00000261087	0.222127951487947	0.00704
ENSG00000007520	0.221623189091677	0.007109
ENSG00000105429	0.22044609650511	0.007147
ENSG00000144857	0.218934101564037	0.00718
ENSG00000189227	0.238374307797517	0.007197
ENSG00000049769	0.220109960659953	0.007229
ENSG00000105499	0.216920570126388	0.007235
ENSG00000175768	0.219269963523624	0.007294
ENSG00000243679	0.219102022770173	0.007294
ENSG00000104897	0.2172559636048	0.00734
ENSG00000214279	0.236333479861926	0.007346
ENSG00000099814	0.218094788583887	0.007385
ENSG00000062822	0.217926984566148	0.007408
ENSG00000175482	0.217088257119184	0.007408
ENSG00000206567	0.216082427396204	0.00741
ENSG00000126243	0.217088257119184	0.007416
ENSG00000061938	0.217591435072627	0.007432
ENSG00000099800	0.222464557891921	0.007445
ENSG00000197562	0.218262612121666	0.007497
ENSG00000136630	0.217591435072627	0.007508
ENSG00000247400	0.221959677732477	0.007523
ENSG00000136371	0.226172421019306	0.007536
ENSG00000204789	0.22044609650511	0.007553
ENSG00000185818	0.222464557891921	0.007569
ENSG00000159208	0.216250016992825	0.007575
ENSG00000196391	0.218262612121666	0.007578
ENSG00000171951	0.2172559636048	0.007656
ENSG00000185504	0.216920570126388	0.007802
ENSG00000177548	0.214742411007388	0.007803
ENSG00000225663	0.22465441592596	0.007832
ENSG00000117707	0.119980638446204	0.007881
ENSG00000160949	0.217759200063907	0.00793
ENSG00000184967	0.213236378814949	0.007978
ENSG00000214106	0.214909845005242	0.008032
ENSG00000196456	0.217591435072627	0.00809
ENSG00000152380	0.212066106395924	0.0081
ENSG00000160360	0.212901918388995	0.008124
ENSG00000168386	0.213403638109193	0.008171
ENSG00000104866	0.211063770755173	0.008228
ENSG00000154889	0.219941922101625	0.008275
ENSG00000233836	0.212734717248298	0.008308
ENSG00000079435	0.222632890549587	0.008344
ENSG00000151651	0.212066106395924	0.008361
