gene.index	RP.Rsum	FC..class1.class2.	pfp	P.value
hsa-miR-3127-3p	600	304	0.15704371014558	0.673	0.04257
hsa-miR-10b-5p	67	305.8	0.149259365499623	0.6782	0.04315
hsa-miR-378g	897	310	0.235114320376357	0.695	0.04449
hsa-miR-193b-5p	399	315.8	0.0482361856528476	0.7198	0.04634
hsa-miR-3175	669	315.9	0.154453592679872	0.7161	0.04637
hsa-miR-6800-5p	2259	316.6	0.278579550458423	0.7156	0.04661
hsa-miR-423-3p	975	317.4	0.134878054343112	0.7155	0.04688
hsa-miR-877-5p	2589	317.6	0.202887833470143	0.7125	0.04694
hsa-miR-651-5p	2053	319.1	-0.050203631376794	0.7155	0.04741
hsa-miR-410-3p	967	320.5	0.160920188181103	0.7185	0.04788
hsa-let-7e-5p	11	321	0.158337027167101	0.717	0.04805
hsa-miR-664b-3p	2080	321.4	-0.0059272087657116	0.7152	0.0482
hsa-miR-486-5p	1511	322	0.142740172116082	0.7139	0.04838
hsa-let-7i-3p	17	322.6	0.0412429822318813	0.7129	0.04858
hsa-miR-28-5p	531	325.9	0.272620454662992	0.7254	0.04971
