FC..class1.class2.	P.value
hsa-miR-30a-5p	-0.150881433446724	0.03009
hsa-miR-6782-3p	-0.169906967867011	0.03031
hsa-miR-125b-5p	-0.147681487494956	0.03039
hsa-miR-6772-3p	-0.240418026766445	0.03047
hsa-miR-23b-3p	-0.147202107181229	0.03062
hsa-miR-3131	-0.15072126746922	0.03083
hsa-miR-140-3p	-0.148161027150656	0.03103
hsa-miR-148b-5p	-0.158268356517503	0.0318
hsa-miR-642a-5p	-0.26222672274106	0.03219
hsa-miR-6729-5p	-0.148960614291275	0.03237
hsa-miR-126-5p	-0.153286059328523	0.03245
hsa-miR-409-3p	-0.144329165559629	0.03252
hsa-miR-212-3p	-0.225328887673116	0.03264
hsa-miR-27b-3p	-0.143213453711919	0.03268
hsa-miR-1250-5p	-0.143054136717567	0.03296
hsa-miR-6847-5p	-0.160040412510468	0.03327
hsa-miR-20a-5p	-0.13558601420693	0.03342
hsa-miR-30e-5p	-0.146403493797487	0.03371
hsa-miR-1287-5p	-0.134793803412827	0.03371
hsa-miR-29c-3p	-0.275960984232732	0.03371
hsa-miR-548ah-3p	-0.149760644834091	0.03375
hsa-miR-629-3p	-0.144169725316234	0.03383
hsa-miR-5587-5p	-0.148960614291275	0.03405
hsa-miR-4664-3p	-0.251195309062932	0.03468
hsa-miR-3917	-0.141461933663464	0.03471
hsa-miR-6794-3p	-0.143054136717567	0.0348
hsa-miR-1226-3p	-0.25773503295987	0.03482
hsa-miR-499b-3p	-0.282087830355571	0.03494
hsa-miR-374b-3p	-0.156980954276232	0.03513
hsa-miR-503-5p	-0.131313234677865	0.03542
hsa-miR-4659a-3p	-0.126738004621513	0.03619
hsa-miR-145-3p	-0.132261648237312	0.03703
hsa-miR-4665-5p	-0.156016155951673	0.03746
hsa-miR-423-5p	-0.125163697349526	0.03749
hsa-miR-1269a	-0.130049652341001	0.03772
hsa-miR-4747-3p	-0.132261648237312	0.03855
hsa-miR-3613-5p	-0.132261648237312	0.03913
hsa-miR-6854-5p	-0.142257815539934	0.03932
hsa-miR-181c-5p	-0.23854450717728	0.03973
hsa-miR-769-5p	-0.12359110613115	0.03994
hsa-miR-143-3p	-0.118413683756604	0.04011
hsa-miR-3191-3p	-0.11966711132536	0.04129
hsa-miR-2682-5p	-0.209394757333387	0.04148
hsa-miR-1278	-0.136378660257795	0.04178
hsa-miR-6884-5p	-0.11966711132536	0.0419
hsa-let-7d-3p	-0.113410835081818	0.04225
hsa-miR-12114	-0.136378660257795	0.04302
hsa-miR-4687-3p	-0.115910090866467	0.04321
hsa-miR-6793-5p	-0.11966711132536	0.04342
hsa-miR-6516-5p	-0.115128608240301	0.04356
hsa-miR-132-5p	-0.218430455184026	0.04401
hsa-miR-1-3p	-0.117317827235331	0.04423
hsa-let-7e-5p	-0.10609421115363	0.04505
hsa-miR-3140-5p	-0.106404802121652	0.04603
hsa-miR-146a-5p	-0.104542258507317	0.04626
hsa-miR-6797-5p	-0.106404802121652	0.0463
hsa-miR-378d	-0.158751428693752	0.04971
