gene.index	RP.Rsum	FC..class1.class2.	pfp	P.value
hsa-miR-636	1998	154.6	-0.320666288686327	0.1719	0.008607
hsa-miR-1273c	198	155.4	-0.31778629762958	0.1727	0.008714
hsa-miR-129-5p	235	158.3	-0.32102669214583	0.1799	0.009143
hsa-miR-429	1020	159.2	-0.313297789743922	0.1811	0.009274
hsa-miR-210-3p	452	160.7	-0.305788392232109	0.1841	0.009496
hsa-miR-4676-3p	1296	161	-0.306145097646435	0.1835	0.009537
hsa-miR-1294	231	161.9	-0.381573383354069	0.1846	0.009663
hsa-miR-128-1-5p	210	162.1	-0.300981481373803	0.1841	0.009702
hsa-miR-199a-5p	416	164.5	-0.294774043383635	0.1895	0.01006
hsa-miR-106b-5p	62	165.6	-0.293358942690592	0.1915	0.01024
hsa-miR-550a-3p	1789	166	-0.413883804662473	0.1911	0.01029
hsa-miR-193b-3p	398	171	-0.285776466425808	0.2046	0.01109
hsa-miR-6859-5p	2375	173.8	-0.289298242960189	0.2114	0.01154
hsa-miR-574-3p	1881	174.5	-0.277359114000195	0.212	0.01166
hsa-miR-548aq-3p	1729	175.2	-0.27805868731534	0.2128	0.01178
hsa-miR-2681-5p	518	175.8	-0.270555993166337	0.2131	0.01187
hsa-miR-449c-5p	1164	176.1	-0.275262427123871	0.2126	0.01193
hsa-miR-3183	680	176.6	-0.276659879748829	0.2127	0.01201
hsa-miR-3661	809	176.7	-0.283140764381793	0.2115	0.01202
hsa-miR-15a-5p	334	177.2	-0.392705199180787	0.2117	0.01211
hsa-miR-3157-5p	647	179.8	-0.264304536409231	0.2177	0.01254
hsa-miR-4521	1195	183.6	-0.260324685496686	0.2277	0.0132
hsa-miR-181a-5p	345	184.1	-0.266906018825185	0.2276	0.01328
hsa-miR-450a-2-3p	1176	185.5	-0.259460951386657	0.2306	0.01354
hsa-miR-6515-5p	2052	185.8	-0.257907531918752	0.2298	0.01358
hsa-miR-6783-3p	2224	190.4	-0.262572817270941	0.2423	0.01442
