R2_06D	R3_06D	R4_06D	R5_06D	R6_06D	R2_06M	R3_06M	R4_06M	R5_06M	R6_06M	R2_12D	R3_12D	R4_12D	R5_12D	R6_12D	R2_12M	R3_12M	R4_12M	R5_12M	R6_12M	R2_24D	R3_24D	R4_24D	R5_24D	R6_24D	R2_24M	R3_24M	R4_24M	R5_24M	R6_24M	R2_48D	R3_48D	R4_48D	R5_48D	R6_48D	R2_48M	R3_48M	R4_48M	R5_48M	R6_48M	R2_72D	R3_72D	R4_72D	R5_72D	R6_72D	R2_72M	R3_72M	R4_72M	R5_72M	R6_72M
GC_013	2066.60932298173	1419.34250520549	1299.69222454094	2202.53321456092	1529.28843101934	2344.27324308715	1693.62603920303	1490.07697960535	1821.06340195957	1701.69950515634	2309.93307674861	1875.12475204043	1255.30635493421	2172.87702262128	1648.52695064353	2609.66123192092	1776.19188421997	1487.19480204006	2449.60710604874	2072.77433574587	2176.8996204366	2044.70046732894	1627.70659277515	2089.64748299758	1957.11989120372	2183.61231302026	1886.44754989455	1336.15032874854	2598.03743258881	2222.42635402287	3413.93771504176	2614.65077219695	1703.67163879957	2995.50672934462	2480.82259760169	4453.126134487	2286.45566115057	1341.05338590245	2959.55376918601	2490.03436421103	4394.66708565643	3249.91521151669	2610.57265308526	3049.39664912545	3881.9057477999	4832.66641513489	3155.37373434117	2629.7515285157	3346.47038461522	2385.98184548681
GC_014	6929.36334489631	4296.03512296117	4673.06410998588	9352.31904290267	4560.12559561926	7452.40414369115	5027.51496270518	5372.41483873211	6923.63077758837	5984.03106361357	8403.8946988579	5974.45542502213	3514.41781286134	6336.84734310529	6603.50551713688	9563.75023829886	4755.61967210918	4599.09988107337	8785.28521871655	6300.37101147996	7078.41511477289	6272.26518168812	5525.78834046702	7176.46425881004	5019.02909782249	5724.21493218353	5672.92277715393	4717.83812545883	7800.36063187967	6494.19261165733	12270.3082548998	10798.904565942	5471.70654049886	10409.003510796	9339.68214636791	15706.4315913645	9902.92260591727	3848.85265136917	10529.5489269838	9398.62506725535	21248.5568695968	13381.145767753	9697.93197078484	14841.5292048698	17388.2042787698	21124.1737321985	13555.9867898355	8861.9316254227	15908.0544158441	12480.9837525539
GC_015	448.934523531125	251.000410359681	202.400074497364	447.1200154613	279.296290784521	551.997865331374	310.487491935977	265.478814611324	332.652571708579	438.815404765988	702.871731750819	320.8265076184	270.524705925732	583.716579169463	461.916849770071	780.036376115686	226.761770832188	305.012311341565	698.249064831621	765.500553866527	581.000326276005	478.279773352839	337.101196327032	534.932630110463	688.852031081489	381.602753818078	443.693790213566	237.137565947567	696.981778632628	878.436533800036	952.410752129349	771.191161177946	412.36727771566	1339.69226684917	900.570484586289	1467.15982910681	626.287442149086	273.154573175894	1111.55491854689	899.600551081601	1375.21629051423	1090.30555344439	770.130030199693	1496.92645756144	1014.38117753002	1552.47256343637	1091.33241057017	601.79647026969	1590.31782703991	927.19911748612
GC_016	10710.3323396366	6873.14844906244	7566.95890296285	14603.5236173716	7883.85670469806	11840.1433954189	7997.04542869984	8352.25670072022	10777.1996335516	10139.5282996607	12893.661258468	9050.09554496857	5739.16370635469	10331.8771887635	10876.6415340817	14229.1676999018	7350.76389405823	7055.48119679268	12852.8694557949	10176.5636200648	10841.5684690434	9189.88943148714	8624.07057104299	11298.1322509779	8132.89610438868	8320.8499072701	8292.51410760152	6986.7228735824	11644.2445105491	9876.69262866209	18385.3971279589	15192.4652809897	8365.94400688308	17100.0170444497	14939.9132201517	23181.5746453768	14407.8677827128	6296.41438225384	17856.6469157075	14022.206497915	28266.0899230941	18589.2691029053	14616.6359926404	22370.6877846473	25551.3929069556	30988.6286391837	18862.5041144391	13012.5297585874	23356.1719952152	18431.6875525682
GC_017	9346.26148308817	4145.50671242935	2529.97761216151	7683.99182019438	2112.82617443694	8804.4747994205	6254.05847121071	937.798651547034	4922.47433597716	2803.3247714497	10309.4255164421	7361.23074845171	3001.48394697217	6945.42261077012	3687.6727839405	10209.095288853	5234.53422828713	3610.11253656482	7786.22582480022	3969.22918482398	10148.9552304161	8872.0401565134	4820.51451241136	7510.84151189082	3610.99608445133	5654.2502933904	6668.1833626437	3239.94579865973	7784.34781308944	3704.41804378676	18775.4134842042	13360.5572261632	5255.33308408712	12175.5033386611	8797.52772935083	20585.6683087277	9403.03768577889	3290.80082643618	13093.9913278839	6959.04046798209	22471.3806270319	16830.7610361855	8300.26941139457	13114.5832099616	20906.8418023006	21902.3948924683	14435.0795926964	6241.91687766145	14520.4438307489	8412.42623081206
GC_018	114.749912838668	148.895781350351	132.9372718437	238.081411768217	67.7402685601387	115.564361256316	153.582602597593	96.9195632141098	126.74269832198	153.271202400868	117.244060454114	103.913448871043	90.3168996821241	126.156018059462	77.9914413664387	84.6794798506949	72.1027715110772	87.0947405323869	210.208314455518	105.12400543552	120.163012612266	103.791774848378	127.787816052733	150.489510912542	88.1234707687815	104.460188346106	75.8808695614856	65.3301540532928	139.908859535815	103.67272412482	135.408051540773	90.9922736499995	124.79036839997	146.912692110917	136.452979892726	192.600710314522	106.523611757248	66.5870964633038	213.184397814362	107.389231067052	28266.0899230941	135.714566494439	176.517542361242	126.145146031326	187.838360970051	30988.6286391837	126.348489447922	118.234114193229	216.519171922124	92.4701524451917
GC_019	97.9821554496636	70.9214116431934	110.588289010588	139.576968010315	14.3114095377523	87.7172347098882	157.292202559461	172.473842275031	44.8094339286142	150.742694415154	69.3777125651924	84.2690672562936	109.874434593931	161.331914439161	46.4899185718056	56.6029617246537	21.3774315094168	41.9931827535806	97.0831143105735	107.227532074897	183.589461445964	212.539125153708	145.548336459161	158.491349352209	21.931221968815	20.8845966015483	30.8477427368061	43.5436222824786	76.9691793950479	119.321029957432	399.716723573946	279.031880497399	138.5629071943	97.9129530939929	148.128853429939	322.087102123138	171.708066749557	37.1039024218187	249.549390790591	53.8586054973546	238.372649460039	247.142714798087	269.078080635884	215.783602234659	250.808334999944	415.235027028912	197.96311950552	41.2849452168195	171.00085020099	29.7235102044559
GC_021	435.096836686308	272.306221177906	292.262386940685	554.699806144757	290.347408800359	447.067367568812	327.469024940071	345.331118280691	399.942547418626	398.257046213471	528.472972567434	391.783587591831	252.931825853895	452.441521681843	420.058661947065	557.656328906346	301.069745434531	301.060578751356	532.183768879525	431.128773312263	484.027996563394	395.052802378848	367.25542175459	507.246727011271	355.338940280606	384.411756864545	357.350627690892	295.378264797601	577.222041462011	496.553119873956	834.563850130072	622.851115504427	374.643119999384	772.281678567207	685.743363430904	1041.95729857332	551.881135117432	281.238077611713	838.595244760381	586.325952968057	1137.62415811642	799.72548368732	615.862466408622	1048.31569635708	1147.0206337663	1276.10856596291	758.774953045424	488.393440780297	988.30082163777	619.559172046918
GC_022	7.8582553526058	6.43255897500419	6.84647470763931	9.57623136765616	6.18790023546941	6.92738748147102	6.05930016973243	6.40245159515418	7.78872521515374	7.87177014420396	8.27973850983364	6.75116990894483	4.32351226919003	7.92507649876579	7.00033839880736	9.55361230719612	5.62922023040331	6.04205455484742	9.56704892163149	6.80244933131787	8.78434958320276	9.28544694206614	8.239729270929	8.96343275859729	6.67511811334103	7.5216792392156	6.25092758838165	4.59872467919077	8.75819865874025	7.34930777379925	13.7036935277663	10.7137118390223	6.0201170093716	13.1118562704892	12.8268358793256	19.2469651213501	8.65298850098068	6.20763775758351	15.3226969002223	10.6835428894124	20.6152357400097	13.3758488322591	11.4426220422558	16.3131185892493	20.5217461481661	22.2134140081653	12.6637156901712	8.26320665559535	16.7193030831527	9.93116195712083
GC_023	4876.43514010436	2218.35938976436	2553.98691174934	5951.65326369875	3863.63296559643	4996.28920084474	3382.41496662283	2791.36189072519	3637.0495741644	4317.44442407017	5859.49059632531	4192.51458396175	2829.993104436	6170.89551079934	3898.99190329025	6403.98791949802	2958.02201186706	2799.80254016328	6735.39038665656	4780.27475329034	5692.14829494023	4759.38806226205	3897.42984638801	6680.49909371908	4827.06791117253	3466.41517446584	3386.34974113213	2574.70288341567	6546.06606364588	4894.62278944771	10177.7275103426	7036.17528531147	4608.71095603652	10187.5861897045	9719.62760396986	11745.750667599	4796.35465745252	2688.46867491432	9875.10291734287	8031.2014747722	13207.0059703823	10168.7562082759	7664.6588145525	14100.5834020062	15982.7573208674	12466.9243093038	8155.58351357656	5240.1289773182	12948.6156757175	7876.82709356577
GC_024	370.299780453389	208.217362659177	236.483206080081	484.176974610076	232.436405032632	397.086590599694	264.16483069521	275.002238432528	329.57711712596	324.085206837391	422.688343732918	298.517190513278	189.477925197253	359.556216481255	336.625176688403	442.872744709062	196.058994630915	220.333187834596	420.398440605101	358.672222627064	396.398080995742	324.857159458323	296.690895735199	377.477284161388	226.198082779675	269.565078225211	272.899527871943	223.482709953914	384.483165968665	353.781215037719	640.880659524742	547.237148143607	302.70952210738	484.12035002364	526.008973051327	850.124220136209	487.792655749493	191.214988898606	591.413840889701	488.351358840794	1224.73397024533	733.728027146349	528.43110895347	833.810360877552	1050.13890195054	1523.56458863265	722.302447797023	424.215247327283	833.210399062692	618.12197950353
GC_025	434.545118568573	242.984201078648	351.371528932933	604.126064143422	182.037983955476	476.719175667071	425.166633216538	480.103616065037	343.158858369519	621.167856695271	449.390927805238	475.424491482536	376.889465854085	609.72568199529	420.317578572774	502.455732291006	167.550083715811	230.989613066425	709.307554839895	596.433524716619	813.513447635947	762.699770791221	554.616404633662	589.434422401245	123.986768360568	292.303740855222	276.876928501816	211.164487125659	588.016214157653	761.818883574375	1427.76927072882	820.742821203241	557.394115539523	480.859025367528	1103.13346256294	2424.77123480884	896.633315091969	131.032989843226	1743.89485952625	658.427769851308	975.112289791985	1088.83383748652	1009.25651825204	1581.58119516591	1800.19566682884	2546.39951944501	1400.09362929554	324.982156113362	1669.46552744085	474.155118958731
GC_026	35441.7157860838	22428.2597067791	26220.1326058151	39417.7548679075	25335.1447340736	36341.3741592652	32788.3191877809	23737.1784596692	27096.4958106756	27043.2311996162	27954.8076217171	28885.2611604905	21567.2432928643	30188.3328750221	21130.2913086883	28923.59339757	20778.613995441	18524.0597637016	28955.4253446297	23211.872269576	31091.2649076143	33563.9540582613	28154.950252076	27356.9691568097	19971.6189519988	22439.6557273608	21172.156223732	16573.6977552706	25988.0501820272	23718.8656061067	39221.9320200706	26904.4597539309	26832.4489220309	32352.4271135661	30392.9766062993	40689.5633621028	21019.7321565924	13835.8496046301	32134.2018228444	25941.8788510654	33087.8573145285	30052.0734830966	35607.1889164554	35276.5406857195	43085.7887384747	35751.8751993322	27798.041986638	24256.7768161631	36926.6602795399	25862.7319687341
GC_027	614.241200644954	275.269443142279	312.633913863688	636.174178871172	365.388552809385	549.958494250381	429.943496276483	286.496333287895	421.155298257717	375.745828216669	654.099342276858	451.522558167691	270.575570775957	609.068302377881	332.65512176086	589.571821519132	271.880566213638	234.507618908928	525.842112876973	397.215947068978	555.246680203838	478.571768539696	364.731199264048	511.476597259422	317.505635284058	298.144978978339	302.730032595993	202.220232595965	409.897738429298	355.966581886757	723.759236525609	459.637847017225	350.054413783936	655.732584581149	646.546701446724	676.54580219843	302.718905314164	169.136531744895	522.982661961081	469.016673269416	903.071934276746	657.000084634096	568.860661131556	957.010928133673	1110.07428692737	705.747645973204	441.372536844648	326.269201845271	802.572333394569	485.485794253983
GC_032	73.3785096587725	36.138246931908	84.5362401571323	178.501631858456	74.3999735056439	83.9298312737569	33.6704293522632	59.5838183270477	179.346923451118	92.7914723059195	206.058929287057	58.7872079007273	41.3849137649381	100.652123643311	107.244225319263	226.452749214303	34.4215762729193	111.606325760377	153.497176551246	100.053564357022	85.487223237945	68.1016202947762	83.6859348215788	139.866183198648	83.6565935138004	38.6563465599918	71.8780379812933	112.913117091117	196.278428057499	135.422597062437	186.730045101591	161.103802207196	107.044981876508	369.800937180025	143.250051946426	203.890515731034	102.635507756505	46.9151787981187	196.098461423006	286.40712764631	654.559409648672	171.948585963442	147.091416314262	261.44359507705	293.15751101347	335.957333397374	236.14880333837	144.652748564654	433.786172097169	259.211401196266
