M8R1	M8R2	M8R3	M24R1	M24R2	M24R3
hsa-miR-152-5p	-0.500556195402333	-0.500556195402333	0.957622195453249	1.22547999787645	0.219217316748589	-0.500556195402333
hsa-miR-1538	0.43664318777476	0.16531070507705	1.01759224708947	0.36448242222327	-0.590251094806782	-0.590251094806782
hsa-miR-15a-5p	-0.308205930835036	-0.259139653988806	-0.730808600790336	-1.2164001815231	0.630726242315404	0.173981311014244
hsa-miR-15b-3p	-0.103581576813593	0.504382242802476	-0.255339537959584	0.250168925034637	0.00493774095068655	-0.903249889654344
hsa-miR-15b-5p	0.103363815248477	-0.126991497471863	-0.126991497471863	0.332836668305868	-0.358289987102204	0.103363815248477
hsa-miR-16-2-3p	-0.00741948207872323	0.111360868375867	0.613259691367137	-0.407021188937193	0.953392465865927	0.557108994649337
hsa-miR-16-5p	-0.572755220098217	0.279639421398903	-0.572755220098217	0.175447041266463	0.258678055070403	-0.315183633577787
hsa-miR-17-3p	0.229333089358786	-0.332646239398616	0.752730596897126	0.622087277631436	0.968663932367876	0.122727475132706
hsa-miR-181a-2-3p	0.292240884662231	0.0478183018901603	-0.253407252545529	-0.159977901426029	-0.159977901426029	-0.461106794135809
hsa-miR-181a-3p	0.0396536687825666	0.295933619049967	-0.128219116954234	0.295933619049967	-0.301658900550533	-0.249715330805135
hsa-miR-181a-5p	0.224595234470033	0.109783772661633	-0.141209488449467	0.109783772661633	-0.377563634395267	-0.141209488449467
hsa-miR-181b-2-3p	0.33818076898188	-0.223798559775522	-0.223798559775522	-0.223798559775522	-0.223798559775522	-0.223798559775522
hsa-miR-181b-3p	-1.07628577329342	-0.21186263821924	-0.03042176015457	-0.68353158502077	0.10826435609961	0.35522678221962
hsa-miR-181c-3p	0.0730298149728386	0.350731521735028	-0.823684039968662	-0.150064180433032	-0.301822141579022	-0.150064180433032
hsa-miR-181c-5p	0.176898075098437	0.370480546224867	-0.385081253658964	0.0840606826383277	-0.385081253658964	0.0702924608723576
hsa-miR-181d-5p	-0.921318214554879	0.0518446362009115	-0.921318214554879	-0.753987432909399	0.262804533574871	-1.62974323279442
hsa-miR-183-3p	-0.841890844756777	-1.40387017351418	-0.750313744885037	0.322166019764603	0.0543082173414033	-0.0491596768878364
hsa-miR-183-5p	0.0465700278848917	-0.128696333963957	0.0465700278848917	-0.0282919825378567	0.117382845361593	-0.0282919825378567
hsa-miR-184	0.917968211143352	-0.10892607143819	0.544630357190952	0.845807445591862	-0.10892607143819	0.346447643093132
hsa-miR-185-3p	0.110480564880702	-0.939226758198868	0.375938452832722	-0.163905867019098	0.0389416407152816	0.363242947530292
hsa-miR-185-5p	-0.141372611557968	-0.467856315086308	0.178091801872392	-0.488256402235268	0.605792250191252	0.294739522371742
