R2_06M	R3_06M	R4_06M	R5_06M	R6_06M	R2_12M	R3_12M	R4_12M	R5_12M	R6_12M	R2_24M	R3_24M	R4_24M	R5_24M	R6_24M	R2_48M	R3_48M	R4_48M	R5_48M	R6_48M	R2_72M	R3_72M	R4_72M	R5_72M	R6_72M
LP_009431.1	-401031.384554468	-874601.809082327	-292930.76139407	-794125.811908639	112377.303591716	-820015.522305924	-953227.574298673	-953960.800673734	-341306.076980937	-264137.82468402	-875789.803731433	-615404.85985589	-935686.148381676	-1008802.66646266	-523647.466395656	908663.683722023	-166989.005227711	-534049.42159716	756875.022196141	-55828.7322328156	1649516.83752328	831624.964624857	387525.691767011	1507492.36528325	675310.751715663
LP_001959.1	236481.46331931	437588.937629318	952462.570969917	410610.756967341	1022509.05099644	117532.466974945	143626.357045946	768878.576882964	562833.577093606	534452.704601226	291066.115609839	208400.5077007	912936.121123689	348697.372313112	520365.906183926	-409704.55321959	-368752.238401426	342978.841377364	-270586.174043365	-411398.702763568	-1080491.09611656	-926891.572020835	-378932.587106795	-1094405.5834372	-1014205.69676844
LP_30223.1	47697.8547914238	139283.33810354	83686.8614651069	53684.4032175269	130177.003798854	22062.2985240811	31557.3727814287	-28302.9443278588	21446.4220907125	-4188.39716658334	-40193.4323239316	-60042.8378367886	-68683.0611978484	-65021.9663611299	-66870.9824370901	-56881.0701400529	-77005.7334594125	-90276.9581371637	28906.738011311	-79320.1045907124	-111308.08331017	-97444.1024698008	-112144.376283909	-56557.6689918913	-117200.258068011
LP_002468.1	-82702.4697352889	-108199.879235461	-107982.016387873	-104530.646266657	-31602.0295221267	-88246.6946102577	-50663.8082017319	-149875.261997642	-50012.739062152	9669.1911718577	-70823.3246515771	-25885.6700273608	-153991.655409843	-75009.1870900821	38670.4393427413	-6118.01729315403	109292.55212523	-137289.768244125	68689.2251414859	124149.543780894	249202.697447142	118709.522410134	-12890.9606861499	191831.89490093	156273.531177172
LP_009288.1	-165561.823601828	-261004.594270816	-259795.190760035	-381405.961006364	-160176.741219898	-350333.541600058	-223105.985150594	-453711.449388607	-156333.034061109	-40340.5613007408	-211025.114846823	-169591.553162355	-489877.579640925	-311978.3834313	-32874.2502253249	163158.10338672	318749.240982645	-197907.032754155	228484.52622825	285300.673954781	662530.108286113	487795.659401949	292514.397335219	707837.656943698	523565.397756381
LP_36122.1	35424.7573603674	90811.5952986169	142431.41732239	60117.2195821162	177208.698416646	30188.2759188356	101492.062598405	162248.010912915	102896.875117749	104907.507322767	52786.5677404179	24266.3829595541	183957.624033924	14718.6197704739	40267.2051992395	-128443.860475439	-121125.297793062	-4481.21991832304	-96242.655357396	-116580.608767584	-162934.297160034	-155658.046003248	-135945.699816347	-158750.599807843	-154442.520935407
LP_002036.1	24257.6558012159	-68757.1374281237	34151.5330635663	73728.269729712	279676.056074144	100362.561944254	-139937.643213648	109463.206726963	246567.931112766	427226.757049001	-71573.9177920518	134633.473217198	82589.0844368383	234721.726290625	450113.017472051	159191.412445364	147358.489856472	356650.897558854	235058.123769439	121250.842011651	-584065.5205368	-170270.207457832	-64433.123509411	-323005.637006994	-449576.734950544
PP_046777	-47171.5445516384	-16023.6487530072	-54835.6446921543	-22696.2435170162	-44372.9109444339	-65111.4961299312	-56798.9484210602	-70111.2811349459	-37641.7636478214	25321.2562229927	-71551.4468345447	-51529.0647044495	-68736.6392470742	-29877.0917462887	85698.0214786083	-16857.3264358902	21776.8837653722	-42480.9909097092	61973.0500316946	22200.6693420169	-5358.45962036325	29123.1593469509	-48249.7636761352	30763.8588058935	112011.987014839
LP_36412.1	27889.0906535952	119687.170832891	125446.944730481	39991.4930467611	103396.829449305	38448.27213994	76790.7849639271	126709.42745596	43708.7699911131	35000.2949565755	37605.0581252499	39126.8553874121	109703.03985615	27571.467531681	43365.6679879323	-103442.477014238	-95180.8957958534	25637.9183841214	-62385.0005100669	-98875.7488763862	-168421.585990119	-148684.567503198	-114359.267921453	-160921.173247995	-159396.378022351
LP_35195.1	110271.026425465	185953.607995869	326130.191074545	222723.398889853	348287.674287369	169369.73932288	192598.61272783	314264.986367071	373066.00933717	351573.617822023	176617.488471836	159380.790513419	328489.52787929	160737.795654539	240798.880375366	-285976.904668157	-290222.742014021	58767.8648146804	-214889.097501059	-283126.363034054	-469927.492541371	-425998.82712453	-330296.804674106	-452751.07008726	-443627.034090997
LP_002446	-77684.1165958241	-82802.7486530702	-3263.42748790517	-59263.9874453201	5123.56949341926	-84998.6260810363	-65379.2849514913	-47889.2668458579	-50436.087510988	-4284.58981391447	-78388.646738215	-59313.3308086638	-63986.6816389478	-64604.4492703137	-13109.3921352232	15553.3980128306	-23066.2470958675	-34015.4757634259	-23006.126241318	24217.7036336572	46594.9993531055	-9411.56528440607	41026.2243408992	50010.8456702765	52284.2074724036
LP_001882.1	13965.3738627876	76108.9552465576	377894.076684713	144407.303895595	354949.374027793	43533.4196959729	47619.1339750228	334956.397477095	174783.780214514	200419.892598362	22067.1482142267	29359.7815228511	308856.232860084	93705.7181694403	194086.937168198	-177066.156173442	-184583.471533058	159231.06954516	-85159.5149973494	-188346.029840436	-367021.233089085	-330352.006363279	-196311.068168668	-337692.694107861	-347192.697345459
LP_002168.1	66342.1556255225	58823.4938014427	146626.108487363	107354.915546717	243580.060227687	42017.6213062099	-449.572014508944	136959.809475452	172032.015295277	196493.971167924	-5793.39163918112	54396.7528967322	97173.2031514197	157833.179532694	185631.69102787	-54298.589260192	-66595.1435578894	130012.475060805	18489.6709934669	-85261.0749900669	-310807.450575709	-236013.13750878	-147667.214970536	-261751.310295702	-283184.830682872
LP_37033.1	10019.332728943	59615.5383878776	65845.3957395799	33480.7879928055	100828.615982143	39742.4530188041	55372.8819201534	85899.9160576921	87591.05721463	100873.647758224	52564.9092237616	32528.9650351845	110013.535125978	48112.6100347743	59537.2457951244	-92459.0461110974	-86919.5672011185	2096.13224368988	-64968.3246742922	-82172.3695832986	-117380.424669076	-112086.559844762	-97922.9105214551	-114862.28628568	-113100.62560439
LP_002457.1	-6349.32628790732	-342026.349426429	-425679.401315105	-393326.425750935	-15727.9343102956	-470352.184244196	-138545.876970006	-575486.961060117	-244326.994932072	-191881.126567473	-103520.774989485	-69193.1416521159	-730950.460003269	-305634.656542343	-73189.2883100461	414131.906529499	296009.63987056	-352058.87501735	169647.800247265	200040.549792677	699778.945498576	555655.615050623	183991.021661208	1054223.90788406	449813.383533287
LP_001871.1	70792.6299147673	121893.147792401	663026.980053427	168037.727942114	579105.743109345	-60496.3895914191	-94072.2821733828	357213.998512866	274370.249562015	301696.942305999	-52071.6912021062	-72616.1670179521	450285.656621942	138345.85539763	296093.987372293	-171698.113163903	-154170.28263943	124982.760302596	35773.0983366882	-199136.103430494	-475406.881193192	-473154.598080508	-161673.025195755	-410444.750086256	-391120.782602289
LP_33935.1	129892.331048017	207358.148217153	536095.366578521	366767.85747983	665161.75091872	228458.668958428	208628.406630196	410764.750980146	521982.874402507	524537.508999684	155625.186650419	135443.647437788	501082.780761185	303891.385529436	406230.38548567	-411402.133054485	-420099.285350873	95179.3150684831	-303512.831926654	-403764.814253089	-716266.933637651	-652621.442928357	-496952.941172068	-674338.106809985	-654646.090629039
LP_23980.1	93161.8271282662	65174.9911751596	45914.7961557871	-97424.804689615	4780.76380559284	-81471.4397831812	76479.4352334191	-80443.0310844057	-62385.5475002868	-84560.110037412	51104.1328583503	7123.84343286324	-75804.0555799828	-81347.7447502239	-70730.6803538427	69461.0085310968	-13529.1617678832	-20883.9826028898	-24497.2565720521	-60637.9075911763	25615.2011293169	-17696.3229265643	66609.8910976742	-23973.5349247876	-68504.7083649157
LP_002179.1	247781.984740768	543422.844814006	524520.322690783	229619.769528077	365923.800729353	45446.7175551105	293438.092749673	419304.443661986	80150.3267593986	64386.9815676877	111986.329421266	53272.5550759494	282460.896626814	36294.9793765337	28397.7473499712	-274158.858997842	-304839.506454705	104101.436686973	-221268.416123226	-298075.281320155	-514761.68901949	-451023.011957823	-385311.501283405	-475791.836938317	-483029.619360628
LN_003349.1	-10825.8280610435	98707.8313376807	72033.5201894055	-87584.5606982913	-106827.71684652	-50540.1994250506	-16337.9522572279	-38487.9722775839	-56885.2122044889	-38210.3927387687	-29870.2899882136	-63529.808287157	-28065.7146463955	-74164.2491855282	-31840.5278925894	43075.6939278229	-39144.6729649209	-16794.2865660921	6375.91089408708	-48004.5377292074	3355.5877043888	4756.2125079149	-46532.586020223	-1935.8788822169	-60976.8558417016
LP_003128	-87514.4933534337	-114576.558041596	-168119.313026045	-210767.053328425	-208733.349567826	-124532.836279454	-170247.053143655	-223670.026342175	-202159.033080878	-174157.757185668	-136901.982111021	-108192.191693913	-218362.399317726	-181120.556993213	-130205.297526462	239290.196512943	153627.865746765	-108049.326685489	171161.044392377	113837.3578595	478405.996603436	348078.869255352	114969.854184387	427559.931247117	286122.339838625
LP_36495.1	22889.4399953797	108334.096569624	87971.4220579563	13847.3097820085	85130.3889394538	6472.07229446815	65002.4895550105	92848.9718473987	48211.3448879538	77246.5865041919	57126.123254098	40327.6113532417	104116.634331942	34220.0684710192	61308.937924733	-62290.7116948096	-39598.7963083065	38646.5021473209	-22580.6055409524	-74696.0521001395	-174865.736596773	-143602.314060137	-71858.533656514	-163510.320522437	-156629.438540179
LP_001948.1	179405.695878945	232961.114600562	1030686.52763321	239814.577172178	668606.956994303	25041.614833477	1019.91324658087	555183.330911159	330465.341239696	380016.846139498	156469.451061799	46423.1142570386	486463.954375948	262173.23461702	343524.196504796	11978.577660854	-27586.5886219931	424417.479964015	106173.2940353	-147499.489894015	-777482.016911955	-487978.877661038	7251.53711908357	-765699.938078893	-859149.901392734
LP_002157.1	7125.27738337964	-14813.0100375817	11447.8295035927	40029.953610177	164948.666668079	5982.08161680814	-24437.4314601199	77464.3150564173	150425.570881587	204727.163217852	-20952.2036144786	50591.499818993	55259.6719127522	143263.682144901	242923.754929051	-14685.166533561	7014.95851234905	74933.6989032095	49802.6339126943	-9084.46192988293	-254919.825814009	-142984.273202203	-89935.4093528083	-173964.401364174	-222459.140764658
LP_002289.1	35273.8397088178	131209.230997437	69367.1773341374	58702.4715213036	163018.105761014	10233.7618478939	72508.2134338216	120074.466791184	127534.055809689	154450.634821567	62212.8331437035	81271.3846463445	159775.615586425	81614.0056365457	134236.352263527	-93425.8259113772	-75866.5791329668	80894.2808132981	-28940.0556728338	-89645.7471033518	-252584.534757477	-193017.548135072	-116161.236309385	-216454.357854	-221109.092115058
LP_000851.1	-97091.0426459238	-50610.5465378945	-32712.5494380013	-129091.030200825	-75757.9412367968	-93896.3846042341	-119967.518039542	-151218.521636102	-61276.5923964008	6813.07321421191	-88557.6105915462	-36240.507472043	-148664.513288145	-61279.1237472939	38206.3146187664	144246.531698416	252211.436954523	-24993.6765259092	134034.238290939	68233.6043112468	54708.7706312299	144175.472700773	27890.0694239495	-24328.3021264418	-48114.6853505576
LP_35086.1	50809.0567288333	205318.629750811	277563.603592074	72711.3732403643	216283.391778785	31944.0923051813	120494.388011235	221631.108662566	102079.289106958	105365.462523709	46340.591251732	11928.2260707237	217536.83191256	-8565.92780325399	3906.04658531194	-154529.595130804	-147342.426842195	-26308.2354261799	-135525.037144482	-146209.169068114	-193148.504599726	-185580.813897723	-164569.968547805	-191875.713035289	-185233.177752679
LP_002523.1	-23045.3396842644	-85241.3831102193	-87534.489630335	-93778.1870090403	-3350.84547867987	-83895.2610776129	30632.7385510198	-107672.72344723	-65640.9252184913	8227.92063675792	18405.9754906612	9587.58841048903	-145713.237691597	-81333.0012625124	22640.662980032	51908.7290750617	52391.7623932953	-58018.6773670269	-26796.5861699539	46045.5409038736	142333.300767365	78737.7862708457	79357.858182859	158843.213542558	125837.042010876
LP_28580	22024.0483459189	62025.0307923341	17246.8840699141	27249.1709980077	58173.3539271732	-626.012910669684	11188.2260707868	-16863.8311239822	22378.9086273022	-6794.96889087583	-31533.7730825009	-34474.6587589015	-34436.6094252888	-24239.4822265937	-41713.87569069	-11200.7950290942	-40411.3064777374	-44611.416193415	28347.2953381256	-36214.3691570872	-49794.2062745839	-42793.7352864572	-53953.5639961586	-24149.3032502776	-56532.4182672236
PP_049177	15768.1168728129	27638.5034153785	-18064.8812960772	-22572.2378508685	3526.14908058333	13272.7992964239	-13213.1431425135	-31564.1341423365	13432.1007609034	-942.06402145663	2524.47312765321	3372.2592813644	-25321.8185572345	7793.53422939204	-17204.6583565472	-8017.72843014188	-23430.543314699	-30112.0781557275	810.950735140163	659.914838824239	-17381.0840232271	29850.1451877047	2572.77407965593	26971.6776759915	17387.8615896038
LP_19835	-36096.4277657467	-55779.5387619783	-72753.269791257	-69776.3897581766	-26611.5350679557	-53348.6791831464	-30328.3020553919	-88345.0154587664	-42784.4086461983	-4871.72672027483	-34879.4629918601	-7213.57176898519	-97761.9571022505	-55471.6949147488	13237.9566018936	13570.8944747839	78723.6020260655	-64907.6444938207	30266.1157756996	70412.6490439167	119202.327799977	98541.5925731464	-4050.09491767126	160519.072679642	110054.562047265
LP_001970.1	112945.674545847	223834.831059287	377279.750623923	154264.823378017	308824.280588467	118425.354261984	213938.866435309	350744.043628459	200217.717987377	220380.194624087	172508.418332215	108605.591774794	398772.636095952	86879.6263961175	143828.944031322	-242127.89735945	-205345.06268568	142996.06658391	-179468.495393264	-248456.143242696	-418596.08444218	-376354.202842331	-244194.530815825	-401029.746811852	-405010.57499327
LP_001148.1	44863.8442534214	24283.9191010859	3397.12512307169	-46412.2040168522	-16284.6347229478	-17811.6922490358	-14924.1300906602	-59263.8575053126	-25654.7538772622	-58590.2194611012	1536.81305250138	-22795.6649755687	-44110.0286694564	-16381.7213617674	-63236.123522991	49623.6655766045	-45141.3676882348	7400.41339799308	25051.8183409153	-37227.649774434	15418.3529889853	-20802.4006456328	18405.2210744272	-31688.4233272531	-56116.6587848193
LN_16788.1	40124.7349935637	55190.9267335389	103619.058166846	-6997.6098097459	-47540.2180555012	8201.77811299339	-29966.0973921285	3504.26105779182	-10344.6275026082	-35369.9391199119	-23090.3671823422	-27907.5144210296	2781.1059071732	-8576.70895086242	-40407.1212992027	47596.3473550499	-61559.88467961	-16815.4424772502	-5685.38671276692	-50698.4995913463	-9001.83118168972	-55364.2935577607	-28653.9735723277	-29826.213850418	-62627.7812104697
LP_37187.1	47272.1224688938	142540.360191797	106444.954911969	36639.1335000967	85198.760767519	35400.5710436495	103489.366132772	122337.293140764	64199.2877743228	45625.8506297152	81566.6076487907	56710.3808475642	125104.497574697	25801.7362285187	29113.6155213231	-102833.461617128	-101573.285818303	20020.7729410479	-67476.4841560023	-93892.7622868935	-154696.41598348	-143787.556364864	-114611.624254194	-148313.90361599	-146217.475982713
LP_37241	49953.274159857	153392.351656004	85459.6113674497	18590.0800402106	57114.6161274703	6515.2798980423	109219.183884177	77193.8675120788	14033.2280412523	13769.0798754409	79448.5605754556	25374.356977292	102035.986972762	1222.30641470931	10951.6894505465	-83197.0759086246	-79781.7511320585	30689.6012437093	-47512.4584016968	-77344.5089813713	-134696.507680183	-122302.921509552	-97770.725430507	-129922.383989645	-126745.849807909
LP_003029.1	-205368.518120593	-311582.631652203	-152192.768309654	-168471.018361388	-128289.810157202	-185137.56084753	-244719.583488383	-226987.781289491	-157405.94388606	-128581.849929516	-235425.912191896	-186294.00531441	-173722.678748444	-109708.574980678	-11943.0133447587	-102951.648334044	34816.7180138024	-214313.273537549	105254.348596468	186898.402469604	896159.12875276	323870.827934736	49661.6495395578	656314.936486148	536615.555049685
LP_002069.1	19198.5833453115	160579.880523435	248967.380575362	47461.8031497314	146604.99644363	19194.376216443	79142.5564982125	186845.204422246	72372.5921990951	93480.5402176564	86497.2145296322	20148.5480403659	174522.520214423	12871.6389980356	48511.8947490955	-119489.76094333	-76078.0426175633	44559.6487768063	-102585.89491833	-95759.9124537153	-183080.640358708	-171883.797223561	-101549.175680097	-187368.809289551	-171250.209672744
LP_28868	-38271.4402590268	-38762.7475323784	-56090.8474379702	-24804.740243585	-6579.60748495971	-25019.6739818887	-31989.4427503065	-67338.4793806625	8413.61655776188	10115.2469536526	-36950.9217390431	-21450.8443009382	-78345.8776904939	-16620.1388929398	36461.0487879352	6271.16986012561	37797.694258396	-43285.5968531989	59982.422860022	9511.28191451626	42860.6647525398	22059.0338512128	-9908.73669079834	58982.6086015585	-11506.8048212592
LP_19551.1	-164356.477961435	-180501.215502275	-138689.938651149	-124540.047817947	-77548.2887638676	-158048.033861026	-170920.526779364	-169485.494232288	-88621.8116072285	-45568.2297848187	-175259.746809234	-152146.752916604	-174228.070988808	-99099.1819921916	-16393.7625400784	-13454.8735395724	21958.4380461823	-146652.722017254	163847.38911985	170581.211163886	447471.101274263	146394.786711227	-6090.68572282186	508885.243205793	389302.705318877
LP_000906	-92570.3892448737	-141976.489558149	-160661.264152392	-132202.569443191	-92461.4918422466	-61284.4244323556	-118292.462352288	-168049.201511779	-51892.4630780033	-5794.49493954296	-107784.061361549	-56927.7247943144	-187931.315136482	-85647.87164653	682.895843766106	81747.8396212676	94860.2750462128	-117716.241523677	113392.872367592	128816.33269453	217028.551567593	157588.114222506	67311.12629161	205869.205241819	207516.887399419
LN_16499.1	-11634.3915527504	-22375.7351317771	-42401.8793068942	-37050.4774291959	-56850.342781981	-20583.0493744601	-12084.8509329189	-43178.4245127298	-15892.5860914482	10357.1216267522	-10488.2951454443	595.621805340328	-51679.653658852	-27423.1644045369	24182.0240384701	5097.3511684527	69765.0258694371	-42775.6370432852	25081.4066316092	21064.5774510655	15341.9308601949	27595.5156944135	-15469.7030955862	19108.7441859247	-10285.2882183872
PP_054769.1	-16633.5284133315	1762.65757655581	-13956.8185014808	25672.15829464	-30661.4216121771	11626.6115138197	-18683.7279707867	-12665.9712614712	-25534.4362682916	4244.21214404992	-9155.10756237834	-13245.3502571971	-12929.1580984906	-14831.9271957652	-14296.3525853066	-31657.6237318839	130906.409071846	-18063.1656834094	-38766.8825682569	3338.94114431994	-35243.9356082705	175667.400227863	2840.09354282011	-21043.556636963	22033.7469834145
LP_28693	-114120.995844332	-102376.268228029	-145526.943557435	-76700.3091882001	-16576.4905871372	-92592.7809015293	-130429.691755389	-165530.074213274	-34502.9141156708	-33501.375457363	-139380.460576517	-112644.455358582	-178018.934859886	-83282.6612948381	-25003.7620128694	86295.4384447825	51802.9010920028	-96744.5972467353	243473.292749673	74936.8144582135	139405.722326669	71329.227297997	3351.57641705917	236018.457296257	109379.041933283
LP_003939.1	20418.4628520822	13977.9707787395	133540.568778577	74354.3264554495	212911.725825473	84547.5333321589	20240.6938724199	120991.113558035	149309.170653928	226055.496929793	45717.8770385244	122952.294429994	179852.320714914	140289.14288732	212888.707309044	-53165.6911103856	-49704.828137046	159677.552537875	-34846.5443586938	-100403.899607148	-288106.105005418	-212389.024479956	-103512.530944681	-275860.546642084	-270775.351885332
LP_32559	2621.48312064004	14805.2563741529	29474.6854546137	8565.60643051144	19516.7579859604	3950.23587500314	22870.7466713444	67713.1249753117	27906.1427699118	33367.8331247729	23717.2805930664	26539.6729698482	55252.0409634072	12683.8197005836	35126.8049590277	-48792.0081823376	-48393.8330050075	7530.55150671399	-30536.0906270064	-42085.5349767437	-54656.539350458	-53833.3876332962	-48097.9668987532	-52471.882552955	-52873.0513325717
LP_36212	13623.3706204244	64530.5531385478	91684.9999301042	44475.2881077731	50427.7101986338	-5051.81261361803	38955.2171795763	65572.9685538402	8042.18149188605	17631.397638231	14080.0603706843	-823.691950611719	54097.195602437	-8129.16179009232	399.861646699537	-50758.5013514557	-50047.2879567774	-1832.40136115288	-34940.5790811364	-48759.5853227005	-62766.0169750208	-59755.6526413355	-52475.6280146864	-61132.6308063009	-60314.0506133468
LP_002399	-9519.74656181123	46995.4545730945	-8827.26055814917	-13994.5533294576	18617.5151605797	-8547.83316298433	33214.6651511883	30705.4424544256	24885.4165037869	35724.2999455121	34598.3736241458	31764.4296582343	48132.0095043195	17812.1223286568	31724.1715680584	-16968.9735265264	-4861.3721323544	70801.9683081004	720.398783618381	-23524.2455223812	-88257.7499194998	-62911.6036867005	-22824.5294833724	-78767.520400295	-78581.5988092154
LP_32444.1	12649.1388645993	33107.5897210852	70083.4204046779	48091.8170591528	117652.776774912	33281.1327056233	33235.1397926759	78679.6753975999	99400.1295902903	104842.221897682	21173.2305545781	17221.7147979582	99172.6585383047	33125.0287212954	46804.1864688257	-79210.8555931888	-73926.7428840246	1315.19047108789	-56563.404150398	-73484.5629847851	-110388.864744956	-103713.457039213	-85623.4025177211	-103903.181232243	-100522.948463071
LN_004922	-17247.8556213828	-2060.33958730557	-9736.52192423033	-24592.2244015101	-74042.545238237	-26452.4460270495	-20704.8577934751	-35199.2543188572	-14423.2070670874	-33881.5087879539	-30433.2705902271	14714.2477949287	-34698.3701649272	-12597.5823482309	-40321.2496535926	4621.98997115214	52012.4843191752	-32501.5865927757	55891.4285082313	-19831.4744144823	96962.3390474896	61344.6810887648	15702.3589879597	4229.74548958408	-32191.8163413081
LN_005041.1	-92333.5422228813	-99252.61729161	56818.3991829095	-27046.8219414843	-141069.236681075	-97207.5385818598	-148300.232948794	39355.7713817956	-7102.95613491797	30309.8012467894	-154959.922352555	-88518.4192507428	23927.1574194735	-47700.7214070772	24061.9018032376	47667.3764640993	-133621.727291235	-9765.79706236508	13154.2743337363	-6419.38090711337	37341.4206246642	-97581.7260888582	48705.3444362064	33330.2828025874	9790.75000996579
LP_29154.1	-63256.1229776644	-36740.0818170983	-86736.3653458601	-105660.832866111	-74812.6290672848	-67128.0069165502	-51552.6461878365	-90707.2053458268	-57472.9800730688	-63769.0795464143	-52045.3307221704	-34257.3693711949	-81553.8761148058	-56288.3386283412	-26826.8985156314	74049.0777452094	73002.5793133974	-9651.83448271194	125273.71614077	71011.4668590479	51541.4111380623	78480.3015191933	26050.1034820797	145631.825569734	92000.5417760351
LP_009365.1	-88221.5662212544	-114942.706745603	-99274.8617428853	-125562.273025337	-76334.9083663136	-103983.990959681	-96080.2267893656	-121335.631550075	-103852.446679727	-34406.1279007076	-91905.3078202263	-66392.8133312639	-138789.348687366	-105514.788119477	-29267.5268106632	-10457.0706376655	21602.1943212792	-121041.30556288	32715.6262526633	101135.586383748	342542.473825325	169007.588407425	-24527.1635724421	383470.30886943	248850.672478578
LP_22581.1	-34815.399040973	-29910.2171632716	-45243.1103270823	-56275.845000941	-35359.1693926787	-54167.7428874906	-12106.6843909224	-55115.3536305813	-38244.4139132137	-7928.96507942796	-27201.3034157025	-22568.7996563652	-59853.5752858805	-39780.4889318588	-17830.0470496891	32833.5962942023	46091.1321059185	-22512.4956624537	19744.3125391892	40001.1609323081	72814.6183191812	31739.5093600659	28631.2216534175	59822.9456893788	62891.2165037167
PN_023378	-16693.3516320996	833.118983446911	-22145.3519930672	-16730.6136440937	-26585.1229098263	-9348.54545454192	-15187.4768379692	-22760.609392626	-13284.1923793881	29237.2524000579	-11415.4161379857	-16913.3695308724	-23831.9028111868	-16572.9563430463	23658.1596867629	-14098.4172459124	25776.954223252	-20321.273073137	7476.90220949446	21270.8630502766	27.2102188971403	28682.7818016507	-14249.7699913548	9852.73042271051	62826.1546436293
LP_33933	15582.2462299884	50698.9635736343	66540.3032505049	18150.1653095121	26190.3557840126	25356.6430286713	59847.4107688358	78698.7126868111	11007.7321393361	33193.3883735275	53446.5580879942	25707.091625281	71526.7455688969	7995.54200318303	12048.0741570372	-63513.1382112438	-61160.3766325366	4954.7810630017	-48835.4210261809	-59280.5485993764	-68503.6349794363	-67326.2776564126	-65762.2232542151	-67428.7492536092	-67508.8859398548
LP_19912.1	-44363.1517389474	-43532.6879109041	-44279.3497346317	-34437.8921145973	4933.36964810014	-49038.573051412	-40718.236299375	-53742.2682317066	-3357.18233584482	28349.1967283197	-50179.8419618962	-28106.4027867356	-67890.7663139575	-20486.4853008569	22135.9354874883	4014.41890354766	35603.3812068978	-47202.5342041142	69461.7220352614	59874.3914881077	58788.7285858234	33847.565682191	-11454.1231370082	90378.4906011703	46543.388427665
LP_27026.1	-52468.8522308853	-73492.7236858458	-60714.6268740844	-71187.1152831194	-35252.8496756963	-75687.1309526635	-36627.0441107282	-84861.6525887065	-38867.2645187993	-37613.0572966006	-48370.634624449	-39010.4789272459	-95472.5201374251	-36179.7208236547	-17797.8466241149	2517.21638658285	4304.24864213914	-34771.2856513062	69752.6178900952	-732.080281653063	102934.138991786	60269.7342914775	-36484.9478796946	140541.655147657	32929.5568858124
LP_27560.1	-13889.1043054731	-36577.634533647	-48724.9261863521	-48780.2723314949	-23304.8848188137	-29148.7125947915	-5445.88672394679	-55658.6192247023	-38221.1294778719	-12463.6122632461	-5983.23623727165	13053.4709081325	-58207.1150788209	-36212.0317561125	1798.68819788993	-3164.53365822126	55229.435321495	-42719.0103648828	2893.34112968946	36351.8948412682	72237.6038397897	83938.9040293176	-5445.8786022221	89867.2048102516	56117.798782755
LP_004687	-657.786866693001	17214.0355914416	-8045.68376874553	-2914.41053873401	24473.7156850752	-5345.74025756748	19518.0090158342	5034.58807902798	25916.0086053948	37172.747220282	23296.3380224323	11912.9516300885	30140.2651488937	16953.2372401418	23389.0134069342	-17367.5181513844	-7221.57623289159	27867.8539821568	6079.12791601133	-13232.374288876	-61166.5623041301	-42270.039578567	-19108.3022058525	-54303.0266457217	-49387.529597188
LP_31689	-7910.34595188461	1620.8486372097	-18934.2022662179	5914.51937048629	30347.9796072479	-11068.4271763428	-18392.0467711419	-39004.9202030545	10295.0353598804	2072.09128420493	-38519.0384917112	-36733.262002235	-46539.7974243871	-20343.8898633501	-18303.9300260975	1300.01052997829	-2358.94982648948	-42138.7428767303	88384.9160548179	2293.55317077918	-19731.00397853	-4226.50855732523	-27422.1031291003	29452.7007661649	-22054.0752621829
LP_002410.1	17924.8283745235	73287.9309969513	39835.7538354373	19996.2708441077	73287.254680095	11443.2219977121	54261.0731473783	66899.1697431417	57454.4084479284	66296.4451899359	67119.7360595306	49977.8964065554	97330.4860215594	64636.9501197702	71419.0772837537	-59800.657130262	-46135.5171517138	59134.3767860906	-1464.5168235001	-50458.5638294941	-165829.525215925	-125716.95866631	-63280.6377348881	-148901.866982635	-144587.739560191
LP_37330.1	-13485.8189498256	24363.1368965153	-14280.6992428707	-10126.8856019298	9443.03339586838	-590.269992386166	18688.1027452831	17859.5597993545	34817.6158206403	51781.2418329988	29514.536380756	23002.5060114009	42925.404855591	30707.5709316672	42177.8303573262	-18011.1078568445	1777.92781422628	46799.4288033838	8174.59494631441	-11764.7133837132	-79322.5704248639	-58491.6461970808	-20079.1466625516	-73323.9155799055	-67969.5502675315
LP_37954.1	-1178.11937784233	24014.3614514099	-2020.33485529908	-8031.35395239791	23428.3148433549	13977.3232081648	25362.2218157795	16068.5884538252	21551.2075899256	25262.5560015176	32023.8162061659	23419.4331293629	28246.2910524978	19022.1412992507	29764.5129568214	-27547.8425586774	-18018.5866915745	12594.6934904648	-13771.446866845	-14314.8251030172	-53260.1199195565	-45831.4604644301	-32726.882541321	-51037.9971925758	-49304.0126825651
LP_32706.1	50629.324211688	166038.737527044	282206.011852578	141009.125838395	229686.47123495	36706.3973581361	126902.605546379	239937.795775814	128924.322465161	160855.008897747	104597.868268412	66661.8410176325	337250.505998352	52534.6759756844	88528.9831043898	-205559.885760889	-174603.299139853	23290.1287438357	-101832.516844231	-181537.739886344	-275033.076002839	-262592.533766708	-192669.155586686	-270557.243725455	-258942.007467986
