R2_06M	R3_06M	R4_06M	R5_06M	R6_06M	R2_12M	R3_12M	R4_12M	R5_12M	R6_12M	R2_24M	R3_24M	R4_24M	R5_24M	R6_24M	R2_48M	R3_48M	R4_48M	R5_48M	R6_48M	R2_72M	R3_72M	R4_72M	R5_72M	R6_72M
LP_25975	13688.919172677	-27862.6544138235	-31701.0138423317	-56684.9001941404	-26272.2002241657	-52082.8999630935	-4325.54594464603	-68364.3276954518	-43898.8009426694	-37480.4752842899	-10993.7015982568	-15728.4486396687	-66904.787349098	-31586.2018844278	-21662.2638950668	37907.2966762214	-4526.43471694412	-21367.5676837769	31822.6487143529	-3741.81948230235	61055.4009604894	23868.0103518179	52066.9161424031	39663.9878282067	25110.3614152068
LP_000796	-236301.246791039	-288610.220626316	-370981.394283931	-322690.61039129	-210358.608814593	-188004.739898345	-225548.886126403	-383555.984675886	-205418.674211281	-87014.8944277912	-226913.777550363	-146711.506184842	-343153.621479973	-234145.268519451	73560.4415730485	197865.66669418	285444.344462845	-112760.255429771	326451.382140171	130605.400419274	449571.670014649	290886.607135822	-66620.923129285	312598.851607536	156549.126776652
LP_20946	-92450.0240116492	-29308.7826186422	-64098.8153918906	-79804.3814602974	13468.0728419703	-128062.497347979	-3804.46506702871	-93524.6840268566	-9550.45848341432	32927.8761953238	-58929.3046394364	-48875.492431154	-126147.164664843	-61053.8231179329	43551.5027896608	9709.33625829552	39395.0588314349	-72266.4969707872	56940.951020843	72649.64801244	40866.5918884939	-25377.8534726718	-67927.8230218626	96865.6736221386	5161.67045345978
PN_022578	-8642.85305697519	-29461.0683048422	-48645.4520837934	-9775.77517145262	-61240.7073679567	64710.7084178276	90984.2621545279	58009.6630156582	-20188.766662927	-63629.9321216684	46661.7122859667	36961.9840383182	68588.17520648	121430.812518862	-60946.8731897647	-13826.8924252528	-34945.0194573099	117219.857418946	-26943.3067522243	96167.2931712929	-30003.3517014235	-24669.794864249	100007.508330068	-31178.5915987812	38889.4800901334
LP_009442	-692648.791881792	-1169010.67257126	-825476.879476446	-1348840.72685705	-836861.538423942	-802095.051228268	-1029146.2722244	-1282811.53111292	-766171.639300681	-598100.982317964	-984252.297471377	-517825.985418493	-1294667.99791542	-942586.774181077	-369454.296104413	701239.549596742	504740.252069062	-467816.986718514	1367883.09429903	938164.866259136	2833097.13021096	1167512.16529091	618275.865263919	2334750.79210804	1656752.17812763
PP_042673	1739940.47356039	-807624.542074863	-1043672.72185624	2199763.57704164	-2902419.8284045	2611189.41323847	1765979.90089351	2004164.14930512	-121532.900786951	-2939053.73168451	2933065.49520805	2210255.12066623	1818117.61684835	2393184.0000622	-1993888.1046256	807012.533654193	39653.9960809387	2200383.29365534	-985039.767341433	2242628.5451385	-1010844.37284547	1264823.31455057	3911381.03386314	-1157454.23074728	2287792.93216004
PP_036985	22279.0721586542	29816.9411593004	-18246.1012585332	-25781.8885948084	-31290.9983734473	374.677930157559	40126.4807345259	11411.2567827801	-8633.29520169199	-23295.0465226923	43587.870626447	4010.51076153925	2266.61220277952	5093.17068565583	-22060.6865492471	-9126.06236429769	-28281.7994947161	28408.1837652653	-45552.3131852958	-9450.93798205316	-24309.3948962745	-2917.39601442774	23044.7117306991	-3580.99670292926	-2639.00749028575
LP_001948	179405.695878945	232961.114600562	1030686.52763321	239814.577172178	668606.956994303	25041.614833477	1019.91324658087	555183.330911159	330465.341239696	380016.846139498	156469.451061799	46423.1142570386	486463.954375948	262173.23461702	343524.196504796	11978.577660854	-27586.5886219931	424417.479964015	106173.2940353	-147499.489894015	-777482.016911955	-487978.877661038	7251.53711908357	-765699.938078893	-859149.901392734
PP_041929	-311528.12611429	-91168.63520884	-110509.755146248	-30544.0255218522	-280618.121728093	-137570.728194664	-493011.389162554	-355892.852035033	-254760.448906017	193217.276637339	-588634.140653241	-449842.150975007	-172716.071267914	-426816.777224829	-36161.8061390929	258321.464571702	198798.050542362	-368864.538996601	145135.129713653	-438650.270865296	441008.764438543	712534.948531486	-366208.378966521	-21313.8898731353	391572.570275951
LN_15403	-34803.0866867162	-50855.5895585478	-33745.487223107	-43729.783884321	-68919.1036739741	-47026.9703215849	-23544.3568058785	-57284.3476476149	-14495.4265992543	1994.06618811234	-31784.9765790277	-4052.30255864753	-62353.8780642907	-30412.3541179377	-1533.81800508476	21647.5134775314	52972.9765747095	-62824.6247007236	33329.809212919	39771.7723543751	217310.054882959	93262.2199192606	-17075.7086213991	78997.6582511485	18018.3911622661
PP_042409	91221.314778225	-353070.911042132	-591603.639961123	28653.975759113	-591129.177997541	408259.481387964	31534.7356656268	-7695.41430420056	-232221.149987249	-424143.345103212	194203.325057083	74130.9911867718	123.781285567442	467805.778156199	-346317.554468939	-37143.6005088773	73340.4268909651	-60912.3383574462	-116951.469649086	553326.163421241	-215224.49892307	146949.096519581	348109.150640681	416945.7536699	697295.187602678
LP_24086	26195.0411374947	24574.8445194196	13557.4955035144	-18505.286093538	-2418.30048502344	-7869.54448333808	23521.0857925034	-11983.2205583418	-8717.30448489161	-16856.9177606886	25125.5848058139	5981.57809464124	-10221.7071139081	-6078.21702695993	-18441.5973137745	12313.6879705831	-17622.0555668822	-5946.88144052167	-6413.575774595	-22170.6091423838	-20747.4751712539	-22891.4228729826	-3600.84937355973	-27924.57119455	-33181.3764425556
LP_002025	-33266.8346975117	-16216.791595109	-42941.8104210975	21391.7844361533	-48755.1106061861	105358.907502827	129277.358337785	-42193.307906748	-49485.7438533404	-47969.5119946471	137950.106835317	89658.0716503611	-21047.5932728606	92295.2760356257	-48671.5090929711	-34662.2904102086	-45761.4376231332	234333.197122658	-42367.8205164856	-25144.3768154906	-46656.8327911674	-43596.4752195964	155911.88044933	-37243.8541246486	118704.663537069
LP_005812	-19698.6428736531	-14830.6576482334	-31949.4319206958	-30310.7195854186	-14818.8338766502	-31002.7931830379	2846.11016414455	-29584.4180756488	-28295.9410281088	-22839.9154732595	-27765.8177858033	-18814.7966952278	-21655.3600955623	-21658.9474392576	-18021.631308993	9698.96609251965	19148.2967426418	-16141.7576761585	7984.52357191782	-10809.7194707546	62134.781705997	13614.3013846638	-24673.6180546399	19967.3645206113	28981.0423550541
LP_26119	25902.9159326948	3613.93969406941	-14531.2995785051	-25898.3401596975	-15118.05124083	-19454.9898523731	11588.6753920193	-31322.7994468283	-13775.7148127597	-17880.0992605775	16407.0944209484	5899.40747795321	-29355.3572614902	-14444.5275362796	-12679.7881590137	20303.7081088135	-1833.01233756771	-973.024767134993	7367.12691856352	-9411.41396759027	582.195715820795	356.295934338123	13484.2040434733	4846.35585907972	-4643.60646330121
PN_022610	-4646.90997929049	-5448.1111951434	-11319.0166932037	-7030.30997077383	-10357.9393119346	-6982.82696590707	-465.615843739579	9945.88686605121	1496.23294639857	-11394.3005347374	-6583.20878721891	-11565.5825690123	18543.4533430701	-8017.25284285108	-10511.890000928	2534.70471315663	-4866.46560961661	17927.7718101758	-14129.8744874633	-7318.80308272089	-4818.73006464441	-4426.25709317753	-6773.43863407574	-5689.68459199229	-12337.1360691641
LP_23854	16073.1942159154	15456.1101936108	27675.5255363498	1851.34817409169	27727.3393101184	-17491.4469532956	24589.4958115922	-1280.04376339036	-8282.19003406932	-1583.43175170633	24819.5784427924	8927.27768621517	-17358.9466972393	-13298.0507212294	-4621.9640465242	-16997.8912124687	-15508.9858011093	-11278.4339671957	-26503.6672284948	-21301.3522750419	-19376.3503968098	-27591.5664865799	-4041.91236768442	-26540.7512796508	-32495.7285296999
LP_26236	8232.70463615256	13591.3886092522	2686.55548002721	-15792.6880670029	-6165.30115797157	-12663.7778481101	11376.9433771954	-13704.0555630671	-12285.9678313413	-12906.04141249	16380.9087173849	-3253.3352982817	-7437.41570666191	-12603.650747381	-14027.5982178075	-3302.09408585606	-6547.74036270129	9970.71524159716	-2078.43385270176	-11160.7640940138	-10815.3662888514	-6439.25670457799	1381.28402702416	-6957.97556555336	-11791.2175444078
LP_002457	-6349.32628790732	-342026.349426429	-425679.401315105	-393326.425750935	-15727.9343102956	-470352.184244196	-138545.876970006	-575486.961060117	-244326.994932072	-191881.126567473	-103520.774989485	-69193.1416521159	-730950.460003269	-305634.656542343	-73189.2883100461	414131.906529499	296009.63987056	-352058.87501735	169647.800247265	200040.549792677	699778.945498576	555655.615050623	183991.021661208	1054223.90788406	449813.383533287
LP_009431	-401031.384554468	-874601.809082327	-292930.76139407	-794125.811908639	112377.303591716	-820015.522305924	-953227.574298673	-953960.800673734	-341306.076980937	-264137.82468402	-875789.803731433	-615404.85985589	-935686.148381676	-1008802.66646266	-523647.466395656	908663.683722023	-166989.005227711	-534049.42159716	756875.022196141	-55828.7322328156	1649516.83752328	831624.964624857	387525.691767011	1507492.36528325	675310.751715663
LP_22041	13410.5829553519	1258.37233383382	6712.13175718375	-12377.2125352187	2432.64084137686	-14835.6201070589	14386.4180211642	-10718.5292828389	-17208.3827532837	-13602.5988404072	19471.8394313202	5206.20589426006	-12777.6289236207	-11377.9167454872	-14071.9165537715	-1377.44648606123	-10053.6382972126	-2363.68629945887	-10500.8951099219	-14211.9304998399	-2444.7089392272	-9856.25679984965	4574.80052200071	-4278.9116422002	-13122.3776793515
