D8R1	D24R3	D24R2	D8R3	D8R2	D24R1	M24R3	M8R2	M8R1	M8R3	M24R2	M24R1
AKR1C2	6.83653735198546	6.08321103649053	6.30067280451672	5.63049694123485	6.34003518023651	6.75082176982444	6.14715530580707	6.13630895561153	6.54484517744916	5.65683740350611	6.21991737200365	6.49423658052697
ALDH16A1	9.97428533438481	10.3011243145532	10.5168462022265	9.54509508415391	9.49755137565301	10.1774155688595	10.4429453169135	10.2640049712844	10.2945961527323	9.99411619540108	10.4097159207981	10.3247013165365
ALDH2	10.6653617505281	10.7043785647219	10.6964339265358	10.5428901945927	10.6458066547338	10.7154659240181	10.4463716030279	10.4752048664434	10.660284141833	10.3409204990965	10.6851711471493	10.6626554097009
ALDH3A1	6.48671984200804	7.50664242361975	6.84782666821611	6.77511612652133	6.38669993527351	6.67246773446114	9.14241490806977	6.77817158057602	6.31970677863488	6.95035149521155	6.62379029935718	5.82990142649404
ALDOC	6.30067280451672	6.8227669498617	7.17006060967466	7.40251324441	6.58613858329692	7.32851722891091	7.30094908945201	6.62428898653086	6.50455940409276	7.19472540745083	7.08003738971441	7.25636018303725
ALG3	11.1774530186349	10.8402892908036	10.9496481581063	11.1959965369449	11.0985206031478	10.7877550798283	11.4346692339438	11.1617466398814	11.1762336865174	10.720639137332	10.9364482377286	10.8682109813662
ALKBH7	8.15106096425172	8.26650537826494	8.74770441874482	7.24744738834133	7.23026982490608	8.30221546333238	7.95921141457255	8.14025942699342	8.3511200752685	7.7863174946461	8.93205925882898	8.66420039806132
ALOX12	4.18595545330094	5.24015989110716	4.62835654832863	4.97230499150889	5.0213120048284	4.96340210170449	5.62283227545864	5.45322054481811	4.8581013085347	4.82737877941442	5.34206180087555	5.43465031151298
ALPP	7.44688743400085	6.15582770029993	6.78405519604807	6.0583338959609	6.79248624079148	7.17930191496346	7.15492897590573	6.83959820140016	7.64293966294642	6.15582770029993	7.01186671994378	7.25636018303725
AMACR	6.55236494488851	6.50853874660807	6.70136807162634	6.25025859121784	6.28667659773757	6.65291065514809	6.27573829478287	6.85445060378767	6.57940155372993	6.47854463553349	6.62379029935718	6.56979445096208
AMDHD2	8.53432646061176	8.61533758476958	8.73864030757697	7.94246469108104	7.59589108621314	8.57590707088227	9.28033102348597	8.68573373247654	8.99877332725429	8.44270169754049	8.68230173662077	8.68639844881121
AMH	6.80565679755343	7.17850639643934	7.35757066868644	6.58854514796612	5.65855186052896	7.30094908945201	7.24699040358388	7.34424027621321	7.68554027653436	7.00660046344658	7.56340068690956	7.63337008861738
ANK1	9.99959976421984	9.5200443214192	9.79874158837788	9.34728660123583	9.72315766525481	9.89651095134851	9.92906182159114	9.74676658151446	9.97025738665046	9.30120026173053	9.72055521000336	9.89385004813612
ANK3	6.87771129261585	7.29622343084275	7.3235692933026	7.2728079248839	7.61635207836513	7.13054638554872	7.11202294638108	7.19108571423854	6.54484517744916	7.06328134309016	7.48290726929535	6.87017709640652
ANKHD1	7.51264520900107	7.38416628002957	7.24653341882643	7.66549344288435	7.5130298262169	7.17930191496346	7.00694112419871	7.26134559029866	7.23695996852577	7.41658699871421	7.12993063410154	7.14609204722881
ANKLE1	5.94303347638514	5.83199578424622	5.38546873163126	5.63049694123485	5.2769325210481	5.18392840224318	6.00919195765193	5.72712520199147	5.85876422632431	6.19911081702455	5.53677691669892	5.70877255231437
ANKRD11	12.7119446489	12.7141898864736	12.7519490880097	12.7028457092647	12.4767224409731	12.5262925023102	13.1327992880557	12.7742459094615	12.7513883602424	12.8893266844106	12.7479498243136	12.6657134491027
ANKRD12	10.4228044393061	11.4071190780877	10.9352669138111	11.0552018990263	10.6499128637416	11.4234628364805	11.1593917450218	8.94157073726919	10.8243003852819	10.6618842858627	10.9548592709437	10.9617626330129
