D24R1	D24R2	D24R3	D48R1	D48R2	D48R3	D72R1	D72R2	D72R3	D8R1	D8R2	D8R3	M24R1	M24R2	M24R3	M48R1	M48R2	M48R3	M72R1	M72R2	M72R3	M8R1	M8R2	M8R3
JUP	3.73427642256953	3.7046703073986	3.66506580701923	4.26253107218469	3.97266981323196	4.01351565904942	4.0866332957229	4.0459950116067	3.96683663796816	4.26865306394309	4.29491959568423	3.67920025318392	3.92302580014374	3.90626857625815	3.98693521266275	4.03498310123998	3.92141970294677	3.95166906283039	4.07305691963359	4.25172470280533	4.06619976224816	3.98142963927773	3.92696907378574	3.86390514276016
OCRL	3.87439885789362	3.8467887993405	3.89421220100295	3.85793921949851	3.92507166707438	4.0702236001681	3.85918671596928	3.87985071875504	3.9875823276034	3.76790564932173	3.96867635673022	3.88439580675015	3.95762733785654	3.87835003639564	3.86840362921586	3.86756951937645	3.93534665063084	3.8467887993405	3.89721984090627	3.89669763435734	4.04470572280006	2.80544034834145	3.89792539444961	3.87916905962253
IGFBP4	4.01186604778804	4.03788537987871	4.03125908278784	4.04140255813259	4.04095106807985	4.11195507908495	4.00075584517796	4.01186604778804	4.04869432383068	3.97696898904088	3.97239581465707	3.99493179536691	3.9922367716814	3.9893761953222	4.0673542868255	4.02564677654468	4.08547420252957	4.06903560526317	4.04065146441125	4.03692090134528	4.12222059897158	2.80544034834145	4.00364933890681	3.96114359445905
INTS3	3.88988632918247	3.72206847956799	3.6194219564337	3.69011160461167	4.12024382288279	3.90173433532222	3.66207493512005	3.73970629031149	4.1862191591742	3.73835115174882	3.76790564932173	3.73012395183701	3.83397637797291	3.70176193709153	4.00827365681349	3.75712202443571	3.65621000323265	3.77001710260045	3.83283275789205	3.72206847956799	4.03953970956072	3.66506580701923	2.63288834068767	3.7545637452852
TOE1	3.85164097386816	3.97056358704724	3.77792032117197	3.91820556515142	3.8723907400311	3.71709452138264	3.84983391450173	3.74572691542974	3.74169155370714	3.94045795784165	4.05864939524097	3.97473034043118	3.84564209198139	3.97733385549153	3.84896156782474	3.77982212333614	4.02538460849135	3.82587717016507	3.67012938479159	3.57954727165299	3.94045795784165	3.63690972715873	3.71087112578759	3.95066028956965
BET1	3.9336654094459	3.91218266900623	3.92238812091013	3.90111164995067	3.9336654094459	4.06845760152041	3.96491487088333	3.97358180087709	4.10793774726117	4.01437492063196	3.93398106198516	3.89792539444961	3.91777861741858	3.91876712149637	3.99046584566586	3.93398106198516	4.00655109614948	3.93473734970488	3.9637158120198	4.09005977881239	4.0899191348884	3.95523999027879	3.25185124263226	3.95863319213907
WDR92	3.77115738577197	3.6194219564337	3.69011160461167	3.67556996352425	3.83861099536893	3.93701731361702	3.71617340883834	3.72021664038431	3.8751312522948	3.67556996352425	3.67556996352425	3.71087112578759	3.68727263103595	3.63690972715873	3.74572691542974	3.72862929023543	3.72480888419204	3.72021664038431	3.73835115174882	3.65621000323265	3.96244141065479	3.69011160461167	2.63288834068767	3.72021664038431
GOSR1	3.92141970294677	4.13048530223994	3.89721984090627	4.14229814291495	4.21828088080775	4.2675493756038	4.11933234935808	4.15686885814682	4.16930558970624	4.1345077823748	4.13467309067971	4.12874151309366	3.90695210526322	3.92859227939771	4.14979708979307	4.15607147638593	3.75609337715888	3.93115023296587	3.93444767394185	4.19731679762858	4.27226613845984	3.88439580675015	3.92405293661794	3.911768676532
GINS1	3.89915202638527	3.86237336955507	3.89133844234982	3.8467887993405	3.87835003639564	4.03156992559868	3.84454192350133	3.73835115174882	3.88311178397231	3.78077292741909	3.84983391450173	3.87668899405002	3.84216047484584	3.86688698840919	3.84564209198139	3.88768838676121	3.89060646008727	3.88196958201792	3.8723907400311	3.76915080202817	4.0196298572877	3.90401524902536	2.63288834068767	3.85419912823372
SIKE1	4.17088990183235	4.13616448517253	4.09697068032991	4.26018757413703	4.27718745838659	4.20669352540567	4.2187922201229	4.16295707834441	4.17231565402197	4.24700312796893	4.15672934430463	4.14597213147309	4.23165241190667	4.07211629330593	4.26196480201678	4.11489975553201	4.0559780193228	4.11073903191734	4.16956046516477	4.15184969545933	4.16653627318353	2.80544034834145	4.23691276751849	3.64996054533114
ARGLU1	3.95339821951464	3.93534665063084	3.94482764125918	3.91977684409143	3.92078854925395	4.06605689441064	3.96149073961032	3.9280821018453	3.96769196589704	3.92944915659055	3.94045795784165	3.98027639583978	3.93717882634294	3.94845354037775	3.94976627055408	3.9464213331942	3.9930332223248	3.9510756994398	3.9395302034371	3.93064461154042	4.0702236001681	4.00976531046576	2.63288834068767	3.92238812091013
UPP1	3.92302580014374	4.03976451920571	3.9368558008911	4.05064213466465	4.02564677654468	4.14352056571633	4.00149954098135	3.93234484662302	4.05087601996369	4.09391348253978	4.04295108932035	4.0489260772885	3.91466081706065	3.83397637797291	4.03326458203468	3.92030104550412	3.7762979587899	4.06489062612606	3.86840362921586	3.7762979587899	3.92859227939771	3.94089968610153	3.73835115174882	3.8695491121111
ACTR10	4.15000254131832	4.05309953491075	4.08087884913884	4.0778330509494	4.10412414177345	3.97613981517128	4.12191215757729	4.1459041030355	4.11753975224969	4.11195507908495	4.10448834923274	4.11825619325169	4.10071123121436	4.09268994806982	4.10842220074468	4.07654069779196	3.89521348252043	4.10584895897725	3.66207493512005	3.97800725071863	4.17027602268342	3.77982212333614	3.96840486982775	3.94845354037775
TRIM21	3.83397637797291	3.90276890231469	3.6988516445224	3.9556209565012	3.97963590770701	3.71709452138264	3.75989864760079	3.99385213374026	3.86477074692395	3.94010859019004	3.97540966188112	3.96643095431614	3.94573130120999	3.96491487088333	3.73427642256953	3.75157396443304	3.83549862962842	3.95834636273585	3.994389604313	4.00510549523009	3.91122956036265	3.76677282252151	3.73214091660922	3.73594605440046
