D8R1	D8R2	D8R3	M8R1	M8R2	M8R3	D24R1	D24R2	D24R3	M24R1	M24R2	M24R3
hsa-miR-11399	0.875138232714988	0.875138232714988	2.22984872934133	1.43711756147239	1.63070003259882	1.04614692036638	1.57733580900958	1.82987174974504	1.82987174974504	2.22984872934133	1.26272572344749	0.875138232714988
hsa-miR-11401	1.7625558768368	1.52869466134413	1.7625558768368	0.875138232714988	0.875138232714988	1.04614692036638	1.57733580900958	1.33051194724631	0.875138232714988	0.875138232714988	1.26272572344749	1.33051194724631
hsa-miR-1183	0.875138232714988	0.875138232714988	0.875138232714988	0.875138232714988	0.875138232714988	1.52869466134413	0.875138232714988	0.875138232714988	0.875138232714988	0.875138232714988	0.875138232714988	0.875138232714988
hsa-miR-12114	1.7625558768368	0.875138232714988	0.875138232714988	0.875138232714988	0.875138232714988	0.875138232714988	1.57733580900958	0.875138232714988	0.875138232714988	0.875138232714988	0.875138232714988	0.875138232714988
hsa-miR-12136	0.875138232714988	1.52869466134413	2.22984872934133	0.875138232714988	0.875138232714988	0.875138232714988	0.875138232714988	1.33051194724631	2.17644840448148	1.34428016901228	1.26272572344749	1.82987174974504
hsa-miR-122-5p	3.78760935782699	4.37552934098053	3.90130113512605	4.27933837517907	4.28117125842474	4.04982687258121	2.02599726019076	4.15595070934904	3.40144912551468	2.96929586376669	3.35524477005784	3.94941834473472
hsa-miR-1226-3p	2.44775761377635	1.52869466134413	1.7625558768368	1.90203251529653	1.63070003259882	1.04614692036638	2.02599726019076	1.33051194724631	1.33051194724631	0.875138232714988	1.26272572344749	1.33051194724631
hsa-miR-1226-5p	0.875138232714988	1.52869466134413	1.26272572344749	0.875138232714988	0.875138232714988	0.875138232714988	0.875138232714988	1.33051194724631	0.875138232714988	2.22984872934133	1.26272572344749	1.33051194724631
hsa-miR-1246	2.44775761377635	2.5023880033638	3.05211996213852	2.58423518285918	3.40144912551468	3.93562864040187	2.62166769086542	2.62166769086542	3.40144912551468	2.60117442599377	3.45613170383411	2.48298157461124
hsa-miR-1249-3p	2.44775761377635	2.10482789836135	2.48298157461124	3.78436898462919	2.73466166154962	2.61142105842959	1.57733580900958	2.44775761377635	2.58423518285918	2.22984872934133	2.33331662357057	2.48298157461124
hsa-miR-1250-5p	0.875138232714988	0.875138232714988	0.875138232714988	0.875138232714988	0.875138232714988	0.875138232714988	1.57733580900958	0.875138232714988	0.875138232714988	0.875138232714988	0.875138232714988	1.33051194724631
hsa-miR-1255a	0.875138232714988	2.10482789836135	1.7625558768368	1.43711756147239	2.73466166154962	2.7458015896912	2.02599726019076	2.62166769086542	1.82987174974504	2.60117442599377	2.62166769086542	2.22984872934133
